group,3442.NoBarley,3437.NoBarley,3421.NoBarley,3454.NoBarley,3464.NoBarley,3420.NoBarley,3447.NoBarley,3413.NoBarley,3402.NoBarley,3444.NoBarley,3407.NoBarley,3467.NoBarley,3429.NoBarley,3423.Barley,3431.Barley,3465.Barley,3418.Barley,3422.Barley,3403.Barley,3410.Barley,3405.Barley,3411.Barley,3434.Barley,3446.Barley,3455.Barley,3471.Barley,3470.Barley,HMDB0000754+,HMDB0000827+,HMDB0000172+,HMDB0000162+,HMDB0000119-,HMDB0000020+,HMDB0001488+,HMDB0000883+,HMDB0000156-,HMDB0000159+,HMDB0000191-,HMDB0000210+,HMDB0000301+,HMDB0000226-,HMDB0000243+,HMDB0000262+,HMDB0000283+,HMDB0000289-,HMDB0000300+,HMDB0000517+,HMDB0000646-,HMDB0000660-,HMDB0000666+,HMDB0000687+,HMDB0000294-,MAR13004B,HMDB0000626-,HMDB0000806+,HMDB0002356-,HMDB0002003-,HMDB0000254-,HMDB0000209+,HMDB0000163-,HMDB0000131-,HMDB0000122-,HMDB0000929-,HMDB0000763-,HMDB0000574-,HMDB0000511+,HMDB0000292-,HMDB0000214+,HMDB0000187-,HMDB0000167-,HMDB0000158-,HMDB0000067-,HMDB0000132-,HMDB0000123-,HMDB0002259+,HMDB0001160+,HMDB0001138+,HMDB0000826+,HMDB0000149+,HMDB0000148+,HMDB0000143-,HMDB0000209-,HMDB0000167+,HMDB0000169+,HMDB0000172-,HMDB0000182+,HMDB0000187+,HMDB0000191+,HMDB0000195+,HMDB0000210-,HMDB0000162-,HMDB0000211+,HMDB0000214-,HMDB0000220+,HMDB0000224+,HMDB0000226+,HMDB0000243-,HMDB0000254+,HMDB0000163+,HMDB0000159-,HMDB0000056+,HMDB0000123+,HMDB0000020-,HMDB0000056-,HMDB0000067+,HMDB0000112+,HMDB0000115+,HMDB0000119+,HMDB0000122+,HMDB0000131+,HMDB0000158+,HMDB0000132+,HMDB0000134+,HMDB0000143+,HMDB0000148-,HMDB0000149-,HMDB0000156+,HMDB0000157+,HMDB0000262-,HMDB0000283-,HMDB0000289+,HMDB0001251+,HMDB0000827-,HMDB0000883-,HMDB0000892+,HMDB0000929+,HMDB0000944+,HMDB0001138-,HMDB0001160-,HMDB0001488-,HMDB0000292+,HMDB0001858+,HMDB0001893+,HMDB0002003+,HMDB0002212+,HMDB0002259-,HMDB0002356+,HMDB0000011-,HMDB0000826-,HMDB0000806-,HMDB0000763+,HMDB0000754-,HMDB0000294+,HMDB0000300-,HMDB0000301-,HMDB0000511-,HMDB0000517-,HMDB0000535+,HMDB0000573+,HMDB0000574+,HMDB0000626+,HMDB0000641+,HMDB0000646+,HMDB0000660+,HMDB0000666-,HMDB0000673+,HMDB0000687-,HMDB0000169-,HMDB0002212-,HMDB0000115-,MAR02027F,MAR08743F,MAR04652F,MAR04410F,MAR04408F,MAR04330F,MAR08684F,MAR03912F,MAR06725F,MAR07702F,MAR04792F,MAR04582F,MAR03845F,MAR03807F,MAR04693F,MAR03829F,MAR03827F,MAR06603F,MAR06602F,MAR04574F,MAR11305,MAR01649,MAR04260,MAR00649,MAR00648,MAR00622,MAR08779,MAR07706,MAR04300,MAR04174,MAR01616F,MAR03263F,MAR04302,MAR04783F,MAR12742B,MAR04807B,MAR04783B,MAR03263B,MAR02027B,MAR01616B,MAR08743B,MAR04652B,MAR04410B,MAR04408B,MAR04330B,MAR08684B,MAR03912B,MAR06725B,MAR07702B,MAR04792B,MAR04582B,MAR03845B,MAR03807B,MAR04693B,MAR03829B,MAR03827B,MAR06603B,MAR06602B,MAR04574B,MAR13004F,MAR12751F,MAR12742F,MAR04807F,MAR04323,MAR08539,HMDB0000182-,MAR04649,MAR04646,MAR04520,MAR04519,MAR04518,MAR04406,MAR04046,MAR04091,MAR04089,MAR04087,MAR08589,MAR08587,MAR08582,MAR03989,3414.NoBarley,HMDB0000112-,HMDB0000641-,HMDB0000134-,MAR12751B,HMDB0000944-,HMDB0000220-,HMDB0000535-,HMDB0000224-,HMDB0000157-,HMDB0001893-,HMDB0001251-,HMDB0000673-,HMDB0000573-,HMDB0000211-,HMDB0000195-,MAR04648,MAR04650,MAR06768,MAR04808,MAR03940,MAR03765,MAR06923,MAR03778,MAR03777,MAR03744,MAR03747,MAR07703,MAR04791,MAR04789,MAR04788,MAR04284,MAR03883,MAR08607,MAR08426,MAR08416,MAR04777,MAR04776,MAR03816,MAR06780,MAR04690,MAR03903,MAR09802,MAR03892,MAR03890,MAR03831,MAR04194,MAR04034,MAR08755,HMDB0000011+
Barley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NoBarley,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
