key	MAR03989	MAR08582	MAR08587	MAR08589	MAR04087	MAR04089	MAR04091	MAR04046	MAR04406	MAR04518	MAR04519	MAR04520	MAR04646	MAR04648	MAR04649	MAR04650	MAR04808	MAR08755	MAR04034	MAR04194	MAR03831	MAR03890	MAR03892	MAR09802	MAR03903	MAR04690	MAR06780	MAR03816	MAR04776	MAR04777	MAR08416	MAR08426	MAR08607	MAR03883	MAR04284	MAR04788	MAR04789	MAR04791	MAR07703	MAR03747	MAR03744	MAR03777	MAR03778	MAR06923	MAR03765	MAR03940	MAR06768	MAR08539	MAR04302	MAR04323	MAR04174	MAR04300	MAR07706	MAR08779	MAR00622	MAR00648	MAR00649	MAR04260	MAR01649	MAR11305	MAR04574	MAR06602	MAR06603	MAR03827	MAR03829	MAR04693	MAR03807	MAR03845	MAR04582	MAR04792	MAR07702	MAR06725	MAR03912	MAR08684	MAR04330	MAR04408	MAR04410	MAR04652	MAR08743	MAR01616	MAR02027	MAR03263	MAR04783	MAR04807	MAR12742	MAR12751	MAR13004
3422.Barley	9284.817679406966	1417.6258963866217	9284.817679406966	9284.817679406966	-100.34160038736901	-100.34160038736901	-100.34160038736901	3095.3644883606053	3095.3644883606053	355.5398987055505	-858.5305689775453	-858.5305689775453	-730.139257461494	-730.139257461494	-730.139257461494	-730.139257461494	3095.3644883606053	-858.5305689775453	3095.3644883606053	3095.3644883606053	-689.858781066375	-3095.3644883606053	3095.3644883606053	3095.3644883606053	2405.227591530631	-4660.085605718145	2804.43383774213	632.1814804080992	-752.4060949723544	-752.4060949723544	-4623.708405737953	632.1814804080992	3095.3644883606053	-1631.411446286694	3832.4948761354826	3307.2664113213473	-3293.548244697169	3307.2664113213473	1462.266317259401	741.0872693546298	741.0872693546298	1854.6847045592795	1854.6847045592795	830.7212130040939	830.7212130040939	191.26246200483752	2804.43383774213	191.26246200483752	14.116440601300006	-1645.5278868879939	-449.9619462981124	3095.3644883606053	1462.266317259401	-1462.266317259401	-1173.2560269983956	-478.399405726416	478.399405726416	3095.3644883606053	-752.4060949723544	-709.706806506747	5.684341886080802e-14	0.0	0.0	0.0	0.0	0.0	0.0	-2.2737367544323206e-13	-7.958078640513122e-13	-2.2737367544323206e-13	0.0	0.0	0.0	0.0	0.0	-4.496403249731884e-15	-4.496403249731884e-15	-5.551115123125783e-17	-5.551115123125783e-17	0.0	-2.220446049250313e-16	0.0	0.0	0.0	0.0	0.0	0.0
3423.Barley	1645.3553504337676	33.219348822172954	1645.3553504337676	1645.3553504337676	4.761343088611875	4.761343088611875	4.761343088611875	2188.884137656975	2188.884137656975	-505.0281540700244	-797.4509354905815	-797.4509354905815	245.22704557813802	245.22704557813802	245.22704557813802	245.22704557813802	2188.884137656975	-797.4509354905815	2188.884137656975	2188.884137656975	-1366.86042738985	-2188.884137656975	2188.884137656975	2188.884137656975	820.9580612761797	-18.81373311150924	423.1439539253393	-6.733882114892907	816.7273112280706	816.7273112280706	-14.116985277777122	-6.733882114892907	2188.884137656975	199.00910757280167	-39.04899550099228	-1373.6740094304112	1367.8285156405484	-1373.6740094304112	1095.8245184334992	43.149962303420125	43.149962303420125	33.269326598682255	33.269326598682255	-270.2192744486324	-270.2192744486324	-970.1937695575448	423.1439539253393	-970.1937695575448	-2.7383001791616373	201.7474077519633	-1368.6287627484858	2188.884137656975	1095.8245184334992	-1095.8245184334992	238.385300645811	-24.12115706119963	24.12115706119963	2188.884137656975	816.7273112280706	-8981.382554287304	0.0	0.0	0.0	3.552713678800501e-15	3.552713678800501e-15	3.552713678800501e-15	3.552713678800501e-15	-2.842170943040401e-14	1.4210854715202004e-14	-2.842170943040401e-14	0.0	3.552713678800501e-15	3.552713678800501e-15	3.552713678800501e-15	0.0	0.0	0.0	1.7763568394002505e-15	1.7763568394002505e-15	3.552713678800501e-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3429.NoBarley	10078.103486824253	593.0464553929038	10078.103486824253	10078.103486824253	-226.45878308250482	-226.45878308250482	-226.45878308250482	-2491.344553799753	-2491.344553799753	1093.78611637555	95.68170180915172	95.68170180915172	-848.4352451282198	-848.4352451282198	-848.4352451282198	-848.4352451282198	-2491.344553799753	95.68170180915172	-2491.344553799753	-2491.344553799753	-1671.4596640667812	2491.344553799753	-2491.344553799753	-2491.344553799753	-4166.50015696447	-5019.282213192138	-161.2040104178377	76.61848662586749	-1329.337670911082	-1329.337670911082	-4886.742461704953	76.61848662586749	-2491.344553799753	-2876.430370971212	6677.041911227212	11089.679436981973	-11328.436788269124	11089.679436981973	-2640.7306431003426	-1443.7710603296537	-1443.7710603296537	-606.1919630094671	-606.1919630094671	-1557.1089427402385	-1557.1089427402385	-555.5438286537074	-161.2040104178377	-555.5438286537074	-238.6476309314994	-2637.7827400397127	-1322.0579382869967	-2491.344553799753	-2640.7306431003426	2640.7306431003426	-2313.193997727388	-291.6652734560691	291.6652734560691	-2491.344553799753	-1329.337670911082	-106.80082046011012	-2.842170943040401e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.3073986337985843e-12	0.0	0.0	9.094947017729282e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.094947017729282e-13	2.275957200481571e-15	0.0	0.0	0.0	0.0	0.0	0.0
3431.Barley	14827.290674450598	989.023319421944	14827.290674450598	14827.290674450598	-41.88653935146514	-41.88653935146514	-41.88653935146514	-3592.6841745676447	-3592.6841745676447	374.52662481253435	-143.41396719649254	-143.41396719649254	-374.6204124470797	-374.6204124470797	-374.6204124470797	-374.6204124470797	-3592.6841745676447	-143.41396719649254	-3592.6841745676447	-3592.6841745676447	-1107.4558008719773	3592.6841745676447	-3592.6841745676447	-3592.6841745676447	-4746.4575652681615	-356.12630745335855	-2663.041717896742	148.0964720935135	-1135.7070377865348	-1135.7070377865348	-277.43115375153343	148.0964720935135	-3592.6841745676447	-1156.8488701530287	4344.712843149295	5766.074953569831	-5770.5195402133795	5766.074953569831	-660.420221390887	-4534.361991450647	-4534.361991450647	-4487.371524363242	-4487.371524363242	-3761.277814280271	-3761.277814280271	775.3340742588362	-2663.041717896742	775.3340742588362	-4.397486491710168	-1152.4513836613185	-1096.7267371347493	-3592.6841745676447	-660.420221390887	660.420221390887	-920.057586498988	-219.64781194995936	219.64781194995936	-3592.6841745676447	-1135.7070377865348	-7751.002713265274	0.0	0.0	0.0	0.0	0.0	0.0	5.684341886080802e-14	-2.2737367544323206e-13	-3.126388037344441e-13	-2.2737367544323206e-13	0.0	-2.2737367544323206e-13	0.0	0.0	0.0	-7.105427357601002e-15	-7.105427357601002e-15	0.0	0.0	-2.2737367544323206e-13	2.914335439641036e-16	0.0	0.0	0.0	0.0	0.0	0.0
3434.Barley	689.2351231165349	485.2292415422186	689.2351231165349	689.2351231165349	88.90709020737894	88.90709020737894	88.90709020737894	-2365.973782447631	-2365.973782447631	332.6445720116996	515.5800663592332	515.5800663592332	-31.083961909747018	-31.083961909747018	-31.083961909747018	-31.083961909747018	-2365.973782447631	515.5800663592332	-2365.973782447631	-2365.973782447631	581.6221516611761	2365.973782447631	-2365.973782447631	-2365.973782447631	-1756.9693850076792	-20.730142147493382	-1468.8357531966346	-199.06988301090482	-17.01830745918471	-17.01830745918471	264.97614171562924	-199.06988301090482	-2365.973782447631	359.9123558597352	2742.3673232037963	2590.3028382286407	-2579.0161160985767	2590.3028382286407	538.7778826957237	-3605.0107213721303	-3605.0107213721303	-2233.531584831704	-2233.531584831704	-4321.915069585493	-4321.915069585493	-115.93937655876721	-1468.8357531966346	-115.93937655876721	7.365916497682893	352.54643936205235	698.091494431362	-2365.973782447631	538.7778826957237	-538.7778826957237	432.02931198593956	-69.0319456331275	69.0319456331275	-2365.973782447631	-17.01830745918471	-12966.774438001128	3.552713678800501e-15	0.0	0.0	0.0	0.0	0.0	2.842170943040401e-14	-2.2737367544323206e-13	1.1368683772161603e-13	-2.2737367544323206e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3437.NoBarley	-2189.267409741083	-121.90240007742162	-2189.267409741083	-2189.267409741083	1.3914147143808107	1.3914147143808107	1.3914147143808107	-281.51055577942134	-281.51055577942134	-625.4516346281794	-659.8714613890829	-659.8714613890829	619.0180634305393	619.0180634305393	619.0180634305393	619.0180634305393	-281.51055577942134	-659.8714613890829	-281.51055577942134	-281.51055577942134	-157.62140037274375	281.51055577942134	-281.51055577942134	-281.51055577942134	-439.8241401337991	289.11419082469774	-745.5036937240424	22.40185599986954	-104.73275884516049	-104.73275884516049	309.35179561267466	22.40185599986954	-281.51055577942134	-138.35049371751376	642.9098862525361	621.0594155080472	-627.0745211545411	621.0594155080472	260.27722375898543	-2140.699700592797	-2140.699700592797	-1511.116766468755	-1511.116766468755	-1984.62091370345	-1984.62091370345	-323.36757468620874	-745.5036937240424	-323.36757468620874	-17.449385061478818	-120.90110865603492	-142.82818331791935	-281.51055577942134	260.27722375898543	-260.27722375898543	-144.8870167258453	17.19529228131271	-17.19529228131271	-281.51055577942134	-104.73275884516049	-1944.3303008492949	3.552713678800501e-15	0.0	0.0	0.0	0.0	0.0	0.0	-1.1368683772161603e-13	-4.973799150320701e-14	-1.1368683772161603e-13	0.0	0.0	0.0	0.0	0.0	-4.440892098500626e-16	-4.440892098500626e-16	4.440892098500626e-16	4.440892098500626e-16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3442.NoBarley	-5408.638431085207	131.73512087451292	-5408.638431085207	-5408.638431085207	-121.19731585386896	-121.19731585386896	-121.19731585386896	1766.8594639102466	1766.8594639102466	1391.3750787849538	1130.4111060474233	1130.4111060474233	-1075.9538998334629	-1075.9538998334629	-1075.9538998334629	-1075.9538998334629	1766.8594639102466	1130.4111060474233	1766.8594639102466	1766.8594639102466	-7814.267555043475	-1766.8594639102466	1766.8594639102466	1766.8594639102466	-6057.980579959917	-7655.594826630382	2483.7057954802194	193.0803051953598	-3315.1652850254113	-3315.1652850254113	-7632.392100608209	193.0803051953598	1766.8594639102466	-2325.602995791609	16063.945605771165	18128.182934883454	-18126.702627397866	18128.182934883454	818.5971587179081	-6267.8424778811395	-6267.8424778811395	-5935.60632628318	-5935.60632628318	-10448.33951875761	-10448.33951875761	-671.0646155695595	2483.7057954802194	-671.0646155695595	-2.785500201413198	-2322.817495590196	-7741.949992756017	1766.8594639102466	818.5971587179081	-818.5971587179081	-1138.9740948472165	-1053.240555795994	1053.240555795994	1766.8594639102466	-3315.1652850254113	2809.367169526977	-7.105427357601002e-15	0.0	0.0	-9.094947017729282e-13	-9.094947017729282e-13	0.0	0.0	9.094947017729282e-13	1.7621459846850485e-12	9.094947017729282e-13	0.0	-9.094947017729282e-13	0.0	0.0	-9.094947017729282e-13	-7.105427357601002e-15	-7.105427357601002e-15	-7.105427357601002e-15	-7.105427357601002e-15	-9.094947017729282e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3444.NoBarley	1805.189331364364	1318.0720859741195	1805.189331364364	1805.189331364364	6.107550480382642	6.107550480382642	6.107550480382642	-1150.6308530573162	-1150.6308530573162	675.3883280636344	609.2885400977882	609.2885400977882	220.18140084678748	220.18140084678748	220.18140084678748	220.18140084678748	-1150.6308530573162	609.2885400977882	-1150.6308530573162	-1150.6308530573162	-614.1026932250226	1150.6308530573162	-1150.6308530573162	-1150.6308530573162	-1769.2774589006915	-1881.7524182766217	-1691.7649567306687	168.47643579989668	-1018.7532390801651	-1018.7532390801651	-1785.2523303220723	168.47643579989668	-1150.6308530573162	-702.6222638345604	4734.38312675295	6115.85957371401	-6104.962038913383	6115.85957371401	-137.77429271706592	-2849.823479584431	-2849.823479584431	-2034.6848898957094	-2034.6848898957094	-2399.747203456115	-2399.747203456115	421.93219105015805	-1691.7649567306687	421.93219105015805	-21.240629954863103	-681.3816338796973	-475.62841995080714	-1150.6308530573162	-137.77429271706592	137.77429271706592	-455.9858664287761	-228.79151222360503	228.79151222360503	-1150.6308530573162	-1018.7532390801651	3525.0559638916766	0.0	0.0	0.0	-2.2737367544323206e-13	-2.2737367544323206e-13	0.0	-2.2737367544323206e-13	-4.547473508864641e-13	3.979039320256561e-13	-4.547473508864641e-13	0.0	-2.2737367544323206e-13	0.0	0.0	-2.2737367544323206e-13	0.0	0.0	5.329070518200751e-15	5.329070518200751e-15	-2.2737367544323206e-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3446.Barley	-3119.782463326446	26.16458479796961	-3119.782463326446	-3119.782463326446	28.130707394341457	28.130707394341457	28.130707394341457	212.25694662281694	212.25694662281694	110.17481506731986	-116.14844643628115	-116.14844643628115	15.13330470775611	15.13330470775611	15.13330470775611	15.13330470775611	212.25694662281694	-116.14844643628115	212.25694662281694	212.25694662281694	-52.63383433560061	-212.25694662281694	212.25694662281694	212.25694662281694	155.9164163144826	-342.979404362603	-916.6654239845834	-32.01433008115342	-706.2628993534465	-706.2628993534465	-257.4422500547286	-32.01433008115342	212.25694662281694	-749.1129117170491	2539.310393453428	4267.453143113708	-4271.235821214031	4267.453143113708	-1629.0739501886721	-2385.267757584514	-2385.267757584514	-2056.6300853685893	-2056.6300853685893	-2898.227859783874	-2898.227859783874	-624.675675088748	-916.6654239845834	-624.675675088748	-23.78014619249788	-725.3327655245513	45.99452781627507	212.25694662281694	-1629.0739501886721	1629.0739501886721	-600.9840205878432	-160.45249766171827	160.45249766171827	212.25694662281694	-706.2628993534465	-6240.526478481206	-1.0658141036401503e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.105427357601002e-14	0.0	0.0	0.0	0.0	0.0	0.0	4.440892098500626e-16	4.440892098500626e-16	-3.1086244689504383e-15	-3.1086244689504383e-15	0.0	-3.552713678800501e-15	0.0	0.0	0.0	0.0	0.0	0.0
3447.NoBarley	-296.71739947782214	118.41649241515432	-296.71739947782214	-296.71739947782214	-43.91547112308644	-43.91547112308644	-43.91547112308644	-92.4533144126068	-92.4533144126068	16.915655606115656	-137.30622220325006	-137.30622220325006	-72.28190661031846	-72.28190661031846	-72.28190661031846	-72.28190661031846	-92.4533144126068	-137.30622220325006	-92.4533144126068	-92.4533144126068	-5.640062285547842	92.4533144126068	-92.4533144126068	-92.4533144126068	-102.5768237586941	174.84933115959498	-550.3860403101785	-62.917687921122614	-1146.1387245905673	-1146.1387245905673	98.11029542114389	-62.917687921122614	-92.4533144126068	-247.47464497602198	506.5416792019763	-73.6436125733078	2.770583512299936	-73.6436125733078	454.2646114483816	-793.8245194039254	-793.8245194039254	-785.5560331390085	-785.5560331390085	-1436.0820933150906	-1436.0820933150906	-0.7432762214662034	-550.3860403101785	-0.7432762214662034	-84.50834890568613	-162.96629607033586	-13.058828082788882	-92.4533144126068	454.2646114483816	-454.2646114483816	-156.8448941036736	3.657048323678236	-3.657048323678236	-92.4533144126068	-1146.1387245905673	-10719.277220628292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.1316282072803006e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.7763568394002505e-15	0.0	0.0	0.0	0.0	0.0	0.0
