Feature,Importance
4901.NoBroccoli,0.0399092680404471
4904.NoBroccoli,0.039252470983250604
4906.NoBroccoli,0.03916414967978829
4916.NoBroccoli,0.03912194831733365
4909.NoBroccoli,0.03739897369830833
4918.NoBroccoli,0.03709441909702245
4913.NoBroccoli,0.036691060278537586
4912.NoBroccoli,0.036648715402754196
4908.NoBroccoli,0.036606233210435137
4915.NoBroccoli,0.036150016173735776
4903.NoBroccoli,0.03595254405720153
4911.NoBroccoli,0.03544460313678568
4902.NoBroccoli,0.035348873103993136
4910.NoBroccoli,0.034292699370765234
4911.Broccoli,0.033751027562833824
4902.Broccoli,0.0336438362792502
4909.Broccoli,0.03311530770182657
4910.Broccoli,0.03307003623587903
4906.Broccoli,0.03297426211302074
4903.Broccoli,0.032842937066887457
4916.Broccoli,0.032540745399048304
4904.Broccoli,0.03203535588228925
4918.Broccoli,0.03186378265240687
4913.Broccoli,0.03169744259867543
4915.Broccoli,0.031664110123034606
4908.Broccoli,0.031598081532319924
4914.Broccoli,0.030664768260734252
4912.Broccoli,0.030027511995041195
4901.Broccoli,0.02943482004639382
MAR04685,0.0
MAR04668,0.0
MAR06974,0.0
MAR03777,0.0
MAR06979,0.0
MAR06980,0.0
MAR06982,0.0
MAR03778,0.0
MAR03744,0.0
MAR06983,0.0
MAR03747,0.0
MAR08017,0.0
MAR08541,0.0
MAR08564,0.0
MAR04681,0.0
MAR08537,0.0
MAR04683,0.0
MAR08544,0.0
MAR10131,0.0
MAR06923,0.0
MAR06768,0.0
MAR07628,0.0
MAR06874,0.0
MAR06791,0.0
MAR06790,0.0
MAR06787,0.0
MAR06778,0.0
MAR06770,0.0
MAR06729,0.0
MAR03765,0.0
MAR06728,0.0
MAR06707,0.0
MAR04244,0.0
MAR04214,0.0
MAR03940,0.0
MAR06924,0.0
MAR08637,0.0
MAR04667,0.0
MAR04288,0.0
MAR04712,0.0
MAR08626,0.0
MAR04607,0.0
MAR04606,0.0
MAR04605,0.0
MAR04424,0.0
MAR04422,0.0
MAR04212,0.0
MAR04191,0.0
MAR03895,0.0
MAR03837,0.0
MAR03835,0.0
MAR03833,0.0
MAR03832,0.0
MAR03816,0.0
