key	MAR03989	MAR08582	MAR08587	MAR08589	MAR04087	MAR04089	MAR04091	MAR04046	MAR04406	MAR04518	MAR04519	MAR04520	MAR04646	MAR04648	MAR04649	MAR04650	MAR04808	MAR08755	MAR04034	MAR04194	MAR03831	MAR03890	MAR03892	MAR09802	MAR03903	MAR04690	MAR06780	MAR03816	MAR04776	MAR04777	MAR08416	MAR08426	MAR08607	MAR03883	MAR04284	MAR04788	MAR04789	MAR04791	MAR07703	MAR03747	MAR03744	MAR03777	MAR03778	MAR06923	MAR03765	MAR03940	MAR06768	MAR08539	MAR04302	MAR04323	MAR04174	MAR04300	MAR07706	MAR08779	MAR00622	MAR00648	MAR00649	MAR04260	MAR01649	MAR11305	MAR04574F	MAR06602F	MAR06603F	MAR03827F	MAR03829F	MAR04693F	MAR03807F	MAR03845F	MAR04582F	MAR04792F	MAR07702F	MAR06725F	MAR03912F	MAR08684F	MAR04330F	MAR04408F	MAR04410F	MAR04652F	MAR08743F	MAR01616F	MAR02027F	MAR03263F	MAR04783F	MAR04807F	MAR12742F	MAR12751F	MAR13004F	MAR04574B	MAR06602B	MAR06603B	MAR03827B	MAR03829B	MAR04693B	MAR03807B	MAR03845B	MAR04582B	MAR04792B	MAR07702B	MAR06725B	MAR03912B	MAR08684B	MAR04330B	MAR04408B	MAR04410B	MAR04652B	MAR08743B	MAR01616B	MAR02027B	MAR03263B	MAR04783B	MAR04807B	MAR12742B	MAR12751B	MAR13004B
050.Avocado	-587.1428829716081	-24.352573724684063	-587.1428829716081	-587.1428829716081	11.168472833146177	11.168472833146177	11.168472833146177	-271.3465927590207	-271.3465927590207	132.20827685319838	-4.77907245614216	-4.77907245614216	-130.77111474466133	-130.77111474466133	-130.77111474466133	-130.77111474466133	-271.3465927590207	-4.77907245614216	-271.3465927590207	-271.3465927590207	244.23224077359373	271.3465927590207	-271.3465927590207	-271.3465927590207	-52.60565878535128	38.567305594920256	-131.39861182047616	61.68819100981089	-9.325530765282036	-9.325530765282036	-118.8347031062432	61.68819100981089	-271.3465927590207	-121.22927453616914	283.9308665969598	-1949.0425632298354	1948.7202278978705	-1949.0425632298354	2335.997646815009	-91.69033111202744	-91.69033111202744	-87.44141934068558	-87.44141934068558	-301.0599877043214	-301.0599877043214	71.19175315387079	-131.39861182047616	71.19175315387079	3.7613553764264926	-124.99062991259564	227.0703392182721	-271.3465927590207	2335.997646815009	-2335.997646815009	-71.58529838456596	21.945322086269805	-21.945322086269805	-271.3465927590207	-9.325530765282036	-1595.9239518792456	93.60165400130418	-5.334851938098159	-5.334851938098159	345.9728207625822	345.9728207625822	-38.567305594920256	47.72756999973875	307.4545109443103	-372.1617334955264	-307.4545109443103	-2335.997646815009	-60.206858666605356	131.31557749730405	131.31557749730405	-118.90248154431013	-36.98211496503523	-36.98211496503523	-62.14342608759009	-62.14342608759009	-60.206858666605356	3.7613553764264926	-5.334851938098159	0.0	0.0	0.0	0.0	0.0	-93.60165400130418	5.334851938098159	5.334851938098159	-345.9728207625822	-345.9728207625822	38.567305594920256	-47.72756999973875	-307.4545109443103	372.16173349552645	307.4545109443103	2335.997646815009	60.206858666605356	-131.31557749730405	-131.31557749730405	118.90248154431013	36.98211496503523	36.98211496503523	62.14342608759009	62.14342608759009	60.206858666605356	-3.7613553764264926	5.334851938098159	0.0	0.0	0.0	0.0	0.0
056.Avocado	-1971.6933000282147	1052.44274569394	-1971.6933000282147	-1971.6933000282147	12.772009576174844	12.772009576174844	12.772009576174844	389.9383735615794	389.9383735615794	223.92131527451681	58.82105974480237	58.82105974480237	-224.81376995378793	-224.81376995378793	-224.81376995378793	-224.81376995378793	389.9383735615794	58.82105974480237	389.9383735615794	389.9383735615794	-538.9857827172307	-389.9383735615794	389.9383735615794	389.9383735615794	-152.34160711914706	-1261.029431382321	823.3626845125875	-55.494147223409364	95.24144898478252	95.24144898478252	-1281.3535126639608	-55.494147223409364	389.9383735615794	-191.0906179941126	368.1805285389264	-1969.2090826960557	1972.7906912077783	-1969.2090826960557	2451.9733102109235	716.1316657489454	716.1316657489454	792.6461727072036	792.6461727072036	417.2954804327702	417.2954804327702	-40.51245721643511	823.3626845125875	-40.51245721643511	5.869407116025762	-196.96002511013836	-483.75617262267275	389.9383735615794	2451.9733102109235	-2451.9733102109235	-122.87009641161609	-12.361603658793733	12.361603658793733	389.9383735615794	95.24144898478252	850.011021100494	125.11213589340431	3.049264224283675	3.049264224283675	766.8614735400479	766.8614735400479	1261.029431382321	1332.0678326460734	327.79276733741506	-589.1650121334537	-327.79276733741506	-2451.9733102109235	782.8502272961524	1311.4292528250774	1311.4292528250774	-1250.6176461627206	-12.484599027947752	-12.484599027947752	105.74364437481802	105.74364437481802	782.8502272961524	5.869407116025762	3.049264224283675	0.0	0.0	0.0	0.0	0.0	-125.11213589340431	-3.049264224283675	-3.049264224283675	-766.8614735400479	-766.8614735400479	-1261.029431382321	-1332.0678326460734	-327.79276733741506	589.1650121334537	327.79276733741506	2451.9733102109235	-782.8502272961524	-1311.4292528250774	-1311.4292528250774	1250.6176461627206	12.484599027947752	12.484599027947752	-105.74364437481802	-105.74364437481802	-782.8502272961524	-5.869407116025762	-3.049264224283675	0.0	0.0	0.0	0.0	0.0
060.NoAvocado	2300.4456129066257	1152.3306267256662	2300.4456129066257	2300.4456129066257	-13.541336805566868	-13.541336805566868	-13.541336805566868	154.78499454657378	154.78499454657378	74.6077559825901	16.014159398164153	16.014159398164153	-70.51393777058722	-70.51393777058722	-70.51393777058722	-70.51393777058722	154.78499454657378	16.014159398164153	154.78499454657378	154.78499454657378	-478.5114324620848	-154.78499454657378	154.78499454657378	154.78499454657378	-333.2148034706096	-623.5705063914135	560.8989234939152	-26.25177661553627	56.21842541602574	56.21842541602574	-609.7228134634285	-26.25177661553627	154.78499454657378	-114.05848754255943	9.072558310999	595.9894204857168	-598.9841072979268	595.9894204857168	-471.59207893228097	450.18675847857924	450.18675847857924	507.56973473874814	507.56973473874814	243.00522720241207	243.00522720241207	-33.83734698810542	560.8989234939152	-33.83734698810542	-12.879507397676564	-101.17898014488287	-463.6394704177788	154.78499454657378	-471.59207893228097	471.59207893228097	-109.06334730437537	3.6831271652846134	-3.6831271652846134	154.78499454657378	56.21842541602574	1443.476798007252	103.86607155724417	-8.275845380899414	-8.275845380899414	169.20502779524247	169.20502779524247	623.5705063914135	689.8522431436381	15.571666656273223	-165.55008994718247	-15.571666656273223	471.59207893228097	527.0615765058097	647.3200052269593	647.3200052269593	-632.8444982130212	1.058284438258319	1.058284438258319	72.65932515238785	72.65932515238785	527.0615765058097	-12.879507397676564	-8.275845380899414	0.0	0.0	0.0	0.0	0.0	-103.86607155724417	8.275845380899414	8.275845380899414	-169.20502779524247	-169.20502779524247	-623.5705063914135	-689.8522431436381	-15.571666656273223	165.5500899471825	15.571666656273223	-471.59207893228097	-527.0615765058097	-647.3200052269593	-647.3200052269593	632.8444982130212	-1.058284438258319	-1.058284438258319	-72.65932515238785	-72.65932515238785	-527.0615765058097	12.879507397676564	8.275845380899414	0.0	0.0	0.0	0.0	0.0
063.Avocado	1618.596079823364	-96.5101025419278	1618.596079823364	1618.596079823364	132.1706273119425	132.1706273119425	132.1706273119425	-863.9106974661917	-863.9106974661917	-129.9039007360861	-177.96399968272897	-177.96399968272897	81.5415806659638	81.5415806659638	81.5415806659638	81.5415806659638	-863.9106974661917	-177.96399968272897	-863.9106974661917	-863.9106974661917	-11.769772783210044	863.9106974661917	-863.9106974661917	-863.9106974661917	-909.9408488938697	284.39760062062066	-201.2805358863506	70.50548575730974	-97.99255202413309	-97.99255202413309	202.23199125630447	70.50548575730974	-863.9106974661917	-17.858492274959534	49.46263239217424	-412.02035706556217	412.86311838260565	-412.02035706556217	482.75575382853316	-161.6094422678931	-161.6094422678931	-5.6199453390144924	-5.6199453390144924	63.5583618799339	63.5583618799339	20.449453007934615	-201.2805358863506	20.449453007934615	2.781179149595469	-20.639671424555004	21.170351507322877	-863.9106974661917	482.75575382853316	-482.75575382853316	17.14535301219118	39.566069059189616	-39.566069059189616	-863.9106974661917	-97.99255202413309	17582.812806504062	58.87367644620116	50.711545881388204	50.711545881388204	-265.65705545913715	-265.65705545913715	-284.39760062062066	-306.797645323747	108.82455181494913	-65.21440045863952	-108.82455181494913	-482.75575382853316	-180.831082878416	-217.68848619890719	-217.68848619890719	286.82740696646005	-165.58824463936696	-165.58824463936696	-171.1526467061185	-171.1526467061185	-180.831082878416	2.781179149595469	50.711545881388204	0.0	0.0	0.0	0.0	0.0	-58.87367644620116	-50.711545881388204	-50.711545881388204	265.65705545913715	265.65705545913715	284.39760062062066	306.797645323747	-108.82455181494913	65.21440045863952	108.82455181494913	482.75575382853316	180.831082878416	217.68848619890719	217.68848619890719	-286.82740696646005	165.58824463936696	165.58824463936696	171.1526467061185	171.1526467061185	180.831082878416	-2.781179149595469	-50.711545881388204	0.0	0.0	0.0	0.0	0.0
064.NoAvocado	25665.20739726384	-3183.308090652587	25665.20739726384	25665.20739726384	26.885831649873698	26.885831649873698	26.885831649873698	-959.0080649070719	-959.0080649070719	-31.048817905715985	-203.14595658397516	-203.14595658397516	60.687794429901274	60.687794429901274	60.687794429901274	60.687794429901274	-959.0080649070719	-203.14595658397516	-959.0080649070719	-959.0080649070719	-1423.3513508115404	959.0080649070719	-959.0080649070719	-959.0080649070719	-2429.9541491913033	-1437.9063335423396	878.104522226219	-120.15030798915528	-450.04307383898424	-450.04307383898424	-1379.7787410158842	-120.15030798915528	-959.0080649070719	-4.346982203050635	226.54203404005472	-33.73526797955475	44.29223247533042	-33.73526797955475	393.7860142662163	967.2740551378236	967.2740551378236	1033.7888020189941	1033.7888020189941	755.7593934181255	755.7593934181255	406.7718589461963	878.104522226219	406.7718589461963	-28.450916140626905	24.103933937576272	-668.2013419333293	-959.0080649070719	393.7860142662163	-393.7860142662163	-2.008579061739292	-12.386644683588212	12.386644683588212	-959.0080649070719	-450.04307383898424	-8655.095581786441	122.32786172196668	-5.331103186069333	-5.331103186069333	-23.92194444699021	-23.92194444699021	1437.9063335423396	1526.1949935295816	404.7468417503253	-555.5049003276592	-404.7468417503253	-393.7860142662163	1284.8763811724152	1408.0162592008382	1408.0162592008382	-644.2793974863391	-63.92360062678861	-63.92360062678861	-311.741714731569	-311.741714731569	1284.8763811724152	-28.450916140626905	-5.331103186069333	0.0	0.0	0.0	0.0	0.0	-122.32786172196668	5.331103186069333	5.331103186069333	23.92194444699021	23.92194444699021	-1437.9063335423396	-1526.1949935295816	-404.7468417503253	555.5049003276592	404.7468417503253	393.7860142662163	-1284.8763811724152	-1408.0162592008382	-1408.0162592008382	644.2793974863391	63.92360062678861	63.92360062678861	311.741714731569	311.741714731569	-1284.8763811724152	28.450916140626905	5.331103186069333	0.0	0.0	0.0	0.0	0.0
071.Avocado	236082.74372028594	-25533.376282069697	236082.74372028594	236082.74372028594	364.0799186935247	364.0799186935247	364.0799186935247	2337.053237753297	2337.053237753297	-53.51852760805805	-23.87451311838516	-23.87451311838516	52.550871117954124	52.550871117954124	52.550871117954124	52.550871117954124	2337.053237753297	-23.87451311838516	2337.053237753297	2337.053237753297	606.1726647920342	-2337.053237753297	2337.053237753297	2337.053237753297	2772.345239197525	-225.6798741822795	36.22926496661239	503.56726030581046	-11019.080103743368	-11019.080103743368	-3595.8020228804194	503.56726030581046	2337.053237753297	-2684.1540076292677	-1253.5652141626074	3112.5586487856344	-2772.0366258509894	3112.5586487856344	313.8171503649222	99.09571635945758	99.09571635945758	1957.1856010127335	1957.1856010127335	151.78608634689044	151.78608634689044	2242.9037023805568	36.22926496661239	2242.9037023805568	370.2509389404224	-3054.4049465696903	15897.098690883342	2337.053237753297	313.8171503649222	-313.8171503649222	4281.708704358944	-7328.880827839473	7328.880827839473	2337.053237753297	-11019.080103743368	-236639.04985076867	-2429.4520755988933	563.9548385829655	563.9548385829655	5102.3371213797345	5102.3371213797345	225.6798741822795	4726.421974697709	935.7847185031583	-4020.1479359068944	-935.7847185031583	-313.8171503649222	2279.132967347169	4696.774035941283	4696.774035941283	10794.761569503607	-194.43855910668555	-194.43855910668555	-10914.96288823895	-10914.96288823895	2279.132967347169	370.2509389404224	563.9548385829655	0.0	0.0	0.0	0.0	0.0	2429.4520755988933	-563.9548385829655	-563.9548385829655	-5102.3371213797345	-5102.3371213797345	-225.6798741822795	-4726.421974697709	-935.7847185031583	4020.1479359068944	935.7847185031583	313.8171503649222	-2279.132967347169	-4696.774035941283	-4696.774035941283	-10794.761569503607	194.43855910668555	194.43855910668555	10914.96288823895	10914.96288823895	-2279.132967347169	-370.2509389404224	-563.9548385829655	0.0	0.0	0.0	0.0	0.0
073.Avocado	139.49987137329202	33.693555170775696	139.49987137329202	139.49987137329202	-0.7078337557195857	-0.7078337557195857	-0.7078337557195857	590.8930373600695	590.8930373600695	53.6275721589136	-9.519113811883145	-9.519113811883145	-139.55900376440135	-139.55900376440135	-139.55900376440135	-139.55900376440135	590.8930373600695	-9.519113811883145	590.8930373600695	590.8930373600695	-421.1219976088485	-590.8930373600695	590.8930373600695	590.8930373600695	169.51847054691598	-921.845173802681	434.3919814217163	1.5744577581248445	-83.34521428604049	-83.34521428604049	-812.3022246643976	1.5744577581248445	590.8930373600695	-112.15455388141385	295.8864562254051	383.54491247452574	-381.6657111637345	383.54491247452574	13.447315140073767	293.30590903670577	293.30590903670577	253.607305622461	253.607305622461	431.6733037716674	431.6733037716674	29.188282545811944	434.3919814217163	29.188282545811944	-3.505295521387577	-108.64925836002627	-391.07976813405037	590.8930373600695	13.447315140073767	-13.447315140073767	-14.247035150600567	-91.61621118950131	91.61621118950131	590.8930373600695	-83.34521428604049	-8044.400027988617	1.6929573471563373	76.61994764377272	76.61994764377272	513.5435462826085	513.5435462826085	921.845173802681	939.4375501813957	294.1127687419531	-408.6995492259693	-294.1127687419531	-13.447315140073767	463.58026396752825	929.5336162635832	929.5336162635832	-904.6233144166589	2.3344658622058376	2.3344658622058376	52.23424701088038	52.23424701088038	463.58026396752825	-3.505295521387577	76.61994764377272	0.0	0.0	0.0	0.0	0.0	-1.6929573471563373	-76.61994764377272	-76.61994764377272	-513.5435462826085	-513.5435462826085	-921.845173802681	-939.4375501813957	-294.1127687419531	408.6995492259693	294.1127687419531	13.447315140073767	-463.58026396752825	-929.5336162635832	-929.5336162635832	904.6233144166589	-2.3344658622058376	-2.3344658622058376	-52.23424701088038	-52.23424701088038	-463.58026396752825	3.505295521387577	-76.61994764377272	0.0	0.0	0.0	0.0	0.0
086.NoAvocado	1348.1930011316047	981.6683170524758	1348.1930011316047	1348.1930011316047	-32.35576579707906	-32.35576579707906	-32.35576579707906	67.83265598509598	67.83265598509598	-12.90653308712767	-43.34226100627153	-43.34226100627153	19.81026504237247	19.81026504237247	19.81026504237247	19.81026504237247	67.83265598509598	-43.34226100627153	67.83265598509598	67.83265598509598	126.71778320968401	-67.83265598509598	67.83265598509598	67.83265598509598	190.60336223571088	-37.40585185855883	24.11582459283727	-53.669119566093734	17.743331563788942	17.743331563788942	-167.0536129165479	-53.669119566093734	67.83265598509598	-29.11766568037593	-46.72646878225197	218.86046098535493	-213.41290811168952	218.86046098535493	-413.36446778552477	-160.66636380015512	-160.66636380015512	93.45101061623214	93.45101061623214	158.61218159990938	158.61218159990938	208.35173364144077	24.11582459283727	208.35173364144077	9.851404587372185	-38.969070267748116	375.640213202273	67.83265598509598	-413.36446778552477	413.36446778552477	127.63082642705092	-152.2714414130648	152.2714414130648	67.83265598509598	17.743331563788942	2344.895039537259	23.920018878408005	-19.22941285869438	-19.22941285869438	421.5333556434522	421.5333556434522	37.40585185855883	359.2636558628178	-228.44272279404944	142.12173870922976	228.44272279404944	413.36446778552477	232.46755823427804	303.16650110654405	303.16650110654405	-45.89314244117918	33.856241711675345	33.856241711675345	3.6162905484751833	3.6162905484751833	232.46755823427804	9.851404587372185	-19.22941285869438	0.0	0.0	0.0	0.0	0.0	-23.920018878408005	19.22941285869438	19.22941285869438	-421.5333556434522	-421.5333556434522	-37.40585185855883	-359.2636558628178	228.44272279404944	-142.12173870922976	-228.44272279404944	-413.36446778552477	-232.46755823427804	-303.16650110654405	-303.16650110654405	45.89314244117918	-33.856241711675345	-33.856241711675345	-3.6162905484751833	-3.6162905484751833	-232.46755823427804	-9.851404587372185	19.22941285869438	0.0	0.0	0.0	0.0	0.0
094.Avocado	11079.063969831232	690.311056051374	11079.063969831232	11079.063969831232	103.10884851493283	103.10884851493283	103.10884851493283	262.8322851031571	262.8322851031571	-43.189944819917656	88.19389032708186	88.19389032708186	55.941037506103264	55.941037506103264	55.941037506103264	55.941037506103264	262.8322851031571	88.19389032708186	262.8322851031571	262.8322851031571	47.46730326255188	-262.8322851031571	262.8322851031571	262.8322851031571	242.7803560849295	36.017779612299364	-17.438317991466988	7.76116030693064	229.65185519818525	229.65185519818525	-215.72815459855815	7.76116030693064	262.8322851031571	-170.84179988134275	347.00683465390443	-1254.171201116421	1261.7332708584895	-1254.171201116421	1636.3059426956586	-31.21562935070972	-31.21562935070972	77.37557857163546	77.37557857163546	-89.74215813757348	-89.74215813757348	325.89529028865053	-17.438317991466988	325.89529028865053	15.993465857980382	-186.83526573932312	14.318921302547722	262.8322851031571	1636.3059426956586	-1636.3059426956586	-11.518566029175048	-169.29310390621382	169.29310390621382	262.8322851031571	229.65185519818525	-27536.04030529056	-131.1090450818442	-17.589134133231063	-17.589134133231063	388.50860828287273	388.50860828287273	-36.017779612299364	411.3018272001681	319.5787947547017	-508.87271922391426	-319.5787947547017	-1636.3059426956586	308.45697229718354	416.99193341701204	416.99193341701204	-374.189686980325	-163.06601105364365	-163.06601105364365	165.76418235035914	165.76418235035914	308.45697229718354	15.993465857980382	-17.589134133231063	0.0	0.0	0.0	0.0	0.0	131.1090450818442	17.589134133231063	17.589134133231063	-388.50860828287273	-388.50860828287273	36.017779612299364	-411.3018272001681	-319.5787947547017	508.87271922391426	319.5787947547017	1636.3059426956586	-308.45697229718354	-416.99193341701204	-416.99193341701204	374.189686980325	163.06601105364365	163.06601105364365	-165.76418235035914	-165.76418235035914	-308.45697229718354	-15.993465857980382	17.589134133231063	0.0	0.0	0.0	0.0	0.0
096.Avocado	53879.72693900171	-2057.188902607518	53879.72693900171	53879.72693900171	425.18415394664237	425.18415394664237	425.18415394664237	-14723.323483674383	-14723.323483674383	473.8378921199029	312.8336775432856	312.8336775432856	-579.5875653520675	-579.5875653520675	-579.5875653520675	-579.5875653520675	-14723.323483674383	312.8336775432856	-14723.323483674383	-14723.323483674383	-611.4244653974883	14723.323483674383	-14723.323483674383	-14723.323483674383	-15433.858357338155	-259.1934007489691	-8951.445369292574	-45.226361119358046	-201.87112570093223	-201.87112570093223	-615.3976423821075	-45.226361119358046	-14723.323483674383	-3156.0135516642304	466.2550262467139	2780.593751971116	-2437.096383422885	2780.593751971116	2422.1770738336645	-12689.404907617727	-12689.404907617727	-9607.565135572091	-9607.565135572091	-16964.75276625561	-16964.75276625561	1467.337435810321	-8951.445369292574	1467.337435810321	363.987234027468	-3520.000785691698	38.481856180753425	-14723.323483674383	2422.1770738336645	-2422.1770738336645	13830.292216073187	-17334.867555397417	17334.867555397417	-14723.323483674383	-201.87112570093223	-118283.46348252759	-146.384451336084	229.25040958593408	229.25040958593408	63.03780093593366	63.03780093593366	259.1934007489691	1002.627243704499	1780.4523957424362	-5554.2764301081215	-1780.4523957424362	-2422.1770738336645	-7484.107933482253	794.0625400789427	794.0625400789427	-24.555944755180235	-180.797193664695	-180.797193664695	2293.996707099296	2293.996707099296	-7484.107933482253	363.987234027468	229.25040958593408	0.0	0.0	0.0	0.0	0.0	146.384451336084	-229.25040958593408	-229.25040958593408	-63.03780093593366	-63.03780093593366	-259.1934007489691	-1002.627243704499	-1780.4523957424362	5554.276430108122	1780.4523957424362	2422.1770738336645	7484.107933482253	-794.0625400789427	-794.0625400789427	24.555944755180235	180.797193664695	180.797193664695	-2293.996707099296	-2293.996707099296	7484.107933482253	-363.987234027468	-229.25040958593408	0.0	0.0	0.0	0.0	0.0
