group,3402.NoBarley,3413.NoBarley,3454.NoBarley,3464.NoBarley,3407.NoBarley,3429.NoBarley,3467.NoBarley,3414.NoBarley,3420.NoBarley,3421.NoBarley,3442.NoBarley,3437.NoBarley,3444.NoBarley,3434.Barley,3431.Barley,3403.Barley,3446.Barley,3470.Barley,3405.Barley,3410.Barley,3411.Barley,3455.Barley,3465.Barley,3471.Barley,3423.Barley,3422.Barley,3418.Barley,HMDB0001160+,HMDB0000301+,HMDB0000626-,HMDB0000806+,HMDB0000826+,HMDB0001138+,HMDB0000167-,HMDB0002259+,HMDB0000123-,HMDB0000132-,HMDB0000158-,HMDB0000172+,HMDB0000187-,HMDB0000294-,HMDB0000883+,HMDB0000162+,HMDB0000119-,HMDB0000020+,HMDB0001488+,HMDB0000292-,HMDB0000827+,HMDB0000754+,HMDB0000687+,HMDB0000666+,HMDB0000660-,HMDB0000646-,HMDB0000517+,HMDB0000300+,HMDB0000289-,HMDB0000214+,HMDB0000131-,HMDB0000511+,HMDB0000574-,HMDB0000112-,HMDB0000641-,HMDB0000134-,HMDB0002212-,HMDB0000944-,HMDB0000220-,HMDB0000535-,HMDB0000224-,HMDB0000157-,HMDB0001893-,HMDB0001251-,HMDB0000673-,HMDB0000573-,HMDB0000211-,HMDB0000195-,HMDB0000182-,HMDB0000115-,HMDB0000283+,HMDB0000169-,HMDB0002356-,HMDB0002003-,HMDB0000254-,HMDB0000209+,HMDB0000163-,HMDB0000122-,HMDB0000929-,HMDB0000763-,HMDB0000067-,MAR10064,HMDB0000243+,HMDB0000214-,HMDB0000172-,HMDB0000182+,HMDB0000187+,HMDB0000191+,HMDB0000195+,HMDB0000209-,HMDB0000210-,HMDB0000211+,HMDB0000220+,HMDB0000167+,HMDB0000224+,HMDB0000226+,HMDB0000243-,HMDB0000254+,HMDB0000262-,HMDB0000283-,HMDB0000289+,HMDB0000292+,HMDB0000169+,HMDB0000163+,HMDB0000226-,HMDB0000131+,HMDB0000020-,HMDB0000056-,HMDB0000067+,HMDB0000112+,HMDB0000115+,HMDB0000119+,HMDB0000122+,HMDB0000123+,HMDB0000132+,HMDB0000162-,HMDB0000134+,HMDB0000143+,HMDB0000148-,HMDB0000149-,HMDB0000156+,HMDB0000157+,HMDB0000158+,HMDB0000159-,HMDB0000294+,HMDB0000300-,HMDB0000301-,HMDB0002356+,HMDB0001160-,HMDB0001251+,HMDB0001488-,HMDB0001858+,HMDB0001893+,HMDB0002003+,HMDB0002212+,HMDB0002259-,HMDB0000011-,HMDB0000511-,HMDB0000056+,HMDB0000143-,HMDB0000148+,HMDB0000149+,HMDB0000156-,HMDB0000159+,HMDB0000191-,HMDB0000210+,HMDB0001138-,HMDB0000944+,HMDB0000929+,HMDB0000892+,HMDB0000517-,HMDB0000535+,HMDB0000573+,HMDB0000574+,HMDB0000626+,HMDB0000641+,HMDB0000646+,HMDB0000660+,HMDB0000666-,HMDB0000673+,HMDB0000687-,HMDB0000754-,HMDB0000763+,HMDB0000806-,HMDB0000826-,HMDB0000827-,HMDB0000883-,HMDB0000262+,3447.NoBarley,MAR13078,MAR05263,MAR05285,MAR05286,MAR05287,MAR05288,MAR05289,MAR05290,MAR05291,MAR09817,MAR09818,MAR07706,MAR08779,MAR03540,MAR03544,MAR03545,MAR03548,MAR03551,MAR03555,MAR05284,MAR05283,MAR05282,MAR05272,MAR05265,MAR05266,MAR05267,MAR05268,MAR05269,MAR05270,MAR05271,MAR05273,MAR05281,MAR05274,MAR05275,MAR05276,MAR05277,MAR05278,MAR05279,MAR05280,MAR03559,MAR03566,MAR03569,MAR05257,MAR00012,MAR00685,MAR00686,MAR00687,MAR00689,MAR00690,MAR00691,MAR00021,MAR04260,MAR01649,MAR04413,MAR09931,MAR09943,MAR11305,MAR12140,MAR12993,MAR09481,MAR00649,MAR03570,MAR03701,MAR03572,MAR03586,MAR03686,MAR03690,MAR03691,MAR03694,MAR03697,MAR03705,MAR00648,MAR03712,MAR03715,MAR03716,MAR03718,MAR03732,MAR08238,MAR00622,MAR05264,MAR05262,MAR03989,MAR05261,MAR04646,MAR04648,MAR04649,MAR04650,MAR04808,MAR08755,MAR04034,MAR04194,MAR03831,MAR03890,MAR03892,MAR09802,MAR03903,MAR04196,MAR04197,MAR04690,MAR06780,MAR04520,MAR04519,MAR04518,MAR08584,MAR08581,MAR08591,MAR08592,MAR08580,MAR08582,MAR08587,MAR08589,MAR04303,MAR04406,MAR04415,MAR04416,MAR08764,MAR04087,MAR04089,MAR04091,MAR04046,MAR03816,MAR04776,MAR04777,MAR07301,MAR04302,MAR04323,MAR04324,MAR04328,MAR04329,MAR04174,MAR04300,MAR07302,MAR06768,MAR07303,MAR07304,MAR07305,MAR07306,MAR05258,MAR05259,MAR05260,MAR08539,MAR03940,MAR04787,MAR04788,MAR08416,MAR08426,MAR08607,MAR03883,MAR04198,MAR04284,MAR04467,MAR04789,MAR03765,MAR04791,MAR07703,MAR03747,MAR03744,MAR03777,MAR03778,MAR06923,HMDB0000011+
Barley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.26726124191242434,0.2672612419124244,0.26726124191242434,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NoBarley,0.26726124191242434,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26726124191242434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
