key	1-hexadecanol	1-monohexadecanoylglycerol	1-octadecanol	2-amino-4,6-dihydroxypyrimidine	2-deoxy-d-ribose	2-methylsuccinic acid	3-(3-hydroxyphenyl)propionic acid	4-hydroxyphenylacetic acid	5-hydroxyindole-3-acetic acid	alanine	alanine, n-methyl	aminomalonic acid	arabinose	arginine	aspartic acid	b-alanine	benzeneacetic acid	butanoic acid, 3,4-dihydroxy	butanoic acid, 3-hydroxy	butanoic acid, 3-methyl-3-hydroxy	c10:0	c14:0	c15:0	c16:0	c17:0	c18:0	c18:0, 10-hydroxy	c18:1 (11)	c18:1 (9)	c18:2 (9,12)	c20:0	c22:0	c23:0	c24:0	c26:0	c5:0	c6:0	c7:0	cadaverine	cholesta-3,5-diene	cholesterol	coprostan-3-ol	coprostan-3-one	cyclohexanecarboxylic acid	cysteine	deoxycholic acid	diethyleneglycol	ethanolamine	fructose	fumaric acid	gaba	galactose	glucose	glutamic acid	glutamine	glutaric acid	glycerol	glycerol-3-p	glycine	glycolic acid	glyoxylic acid	guanine	hypoxanthine	inosine	inositol, myo	inositol-p	isoleucine	l-methionine sulfoxide	lactic acid	lanosterol	leucine	lithocholic acid	lysine	malic acid	maltose	mannose	methionine	mimosine	n-acetyl glucosamine	n-acetylglutamic acid	nicotinic acid	o-phosphoethanolamine	oleamide	ornithine	orotic acid	p-cresol	pantothenic acid	pentanoic acid, 4-methyl-2-hydroxy	pentanoic acid, 5-amino	phenylalanine	proline	pyrrole-2-carboxylic acid	pyruvic acid	rhamnose	ribose	sedoheptulose	serine	sitosterol	stigmastan-3-ol	succinic acid	threonine	thymine	tocopherol, a	tocopherol, d	tocopherol, g	tryptophan	tyrosine	uracil	urea	uric acid	urocanic acid	valine	xanthine	xylose
4515:P3.Almond	106.73481647298095	36.41330886631502	-16.054952817312746	-4.28798620369222	-27.40736265078096	15.86832153221961	33.439290068742295	31.095026452358834	10.884832915582114	313.5266432741622	-4.289365189741766	6.838695263464924	537.2847444981021	21.893087610216867	262.2274755592999	6.4011367966109916	6.097109077395039	-0.9342179493058178	-1.079550634495519	0.2876137717756708	2.2269358568339475	-29.691384478727457	-34.9501100619313	2918.309461958899	8.201601950727891	6753.561271782852	2021.8193098843349	385.95809262356045	21327.90742189994	6180.313752384547	-43.688714643213174	-2.7911815498116397	13.719825261411062	-14.877624309095502	15.022446401025539	350.19219145679386	253.13803494083422	57.505295645159464	-13.355897202858491	28.287252510562084	7285.663992383118	1296.5227122767683	-28.689702956491374	121.2797947898462	15.97467214104651	736.8392203606576	79.24499439884802	40.92687930705071	134.25308095015149	2.9662112365256785	-15.861542094872386	-79.99143277510758	2403.1581457169323	440.6341660303351	272.2974874838262	3.768330961190699	3955.1219400200052	50.08732613156949	89.48847631295465	13.202831223114286	-211.64616448196477	-2.4269057779088676	65.7344862689304	45.40425015917137	68.66331112855505	29.862813763328006	25.081631644987624	3.0685657992948947	-58.591582839157745	54.83867746822343	4.017827327561321	-485.51661070982163	437.87033653310056	-17.437646202212292	376.1845789466272	60.577817337703166	35.8646105008882	-0.9302965711054126	30.748023978371616	18.10067157063458	54.745324923842105	3.3301590727718935	51.261647068853726	28.980200975784065	-6.602563709794348	-1.8407110771235853	17.556915524340724	0.04422700026026165	176.6390593128624	65.61597729802169	37.452013548052484	-1.1882858846936906	1.1182153222701512	116.7137368035483	528.7881879502434	-2.202472022956421	55.02846117991321	910.6647146065286	-492.4013834871722	15.735412735723486	67.35555758184539	-28.6697819210699	92.79686245590185	2.6310233248366455	-4.689620088898394	29.663864948530318	147.64280301439265	-26.323310371944558	-59.34441363779981	-11.320741942349565	0.05621509079415837	48.99529946442189	-63.95332678649343	28.339372575900825
4515:P5.NoAlmond	17.941457847698686	26.255737381301138	13.12267956457059	-3.532903891784838	-0.46020296291583646	109.0303819607457	-6.475317629152615	23.44524169170061	-10.891634413096906	164.74696469374624	-14.430226929766775	-12.90028355071454	-212.80213907443965	-9.035675731842932	86.1230966773253	89.30343935179425	52.304467357179824	43.47288030034005	1.3758836246749946	8.962635579774503	0.8521363787010101	462.7266644742419	-177.37292205932428	4874.976021392183	97.01361079578156	1752.6511228777908	206.2973261011739	-403.99724177762107	399.80116343879604	227.62646815422954	-67.15156921609187	-11.905770641148862	2.355601887689158	19.98297808616887	7.6087091929640405	43.294195915431125	-76.83149724982357	-0.7588090775898877	-21.78327012349456	17.533080643985272	-958.7651971200085	6017.363748315946	-70.4942024	-37.52067786687134	-0.14745791345507506	798.2382260155883	72.45978402770696	22.552528429521345	-76.38483232462711	-3.4962059226300055	13.670003088811852	-108.2525808	-3006.2265252020275	848.9292900988634	160.99478244672957	53.278827123996635	-119.35781082743375	58.94516509413397	149.81051519998357	43.43938866233982	99.90729777294473	2.5640697158283468	1.7526384942740663	72.89203995824525	43.742278485511605	53.98055263003124	-71.23239799800068	0.39486639744658464	25.33516764486961	5.7890077209775725	-160.47942226356707	155.52001048567683	-24.12877507482966	-33.2462106462648	45.20483842779515	0.020169735197366312	22.484850460423964	-1.8426201807327143	-28.384022430438957	-6.77531700603598	1.3632741548930554	-2.746288962657088	21.067664542340594	-12.907232898456048	2.630355474525672	44.062101742441214	24.575365264221254	4.559937269447782	114.65607802693478	7.567095806717347	-17.52249700201764	-2.4130853089051585	3.5450767080017336	30.304313256843237	-170.79595872568757	-5.154873749110316	-51.752757414571676	-327.2440863777466	-113.30074722652967	34.764668252904954	-58.21017245650434	-21.837759681181943	-17.024290509860386	1.6759470358718254	-23.195469086281037	36.28856629049811	18.849252632788136	-58.70519133247198	24.10627737345093	159.00949228662284	2.564146063994391	-43.68986879250798	-114.07510590441402	-115.46497625445718
4516:P3.NoAlmond	8.412239198615284	92.61267261929575	255.7525074053841	0.5018200200323997	-95.30407660110501	23.461511383332468	208.53618252219667	101.04226700176926	-17.093093717200034	2347.73750415509	354.8186844617613	-19.51860680870368	628.8434223571115	43.91598300650849	175.63347183650814	468.9900587906644	33.06929992957026	51.121160951855764	451.524531386062	28.176921497000613	-2.6485738062968593	107.3689904431287	65.71382964747488	1855.496771184066	75.50302193982684	2378.381996560376	712.647771733701	-587.3964207497793	712.5442894910378	97.42393626116916	10.15503079623852	36.34549580691066	8.224789094404453	32.22100948064203	12.227125101560656	91.2214472648436	8.999892966935514	4.491470368842728	-164.11259218808345	89.52505938205046	21864.201120102014	452.11948517586654	43.130225943612466	5.502191621158424	29.556401480804087	2027.8180640711867	66.2548801947804	-20.578268092563093	34.98116186851672	1.9786366370524977	483.226038929797	-3.3144810080522755	817.2087854910424	139.77151262318387	-229.70968404339789	5.336486592246223	71.77909626626922	313.0217963372983	-60.545933913674446	66.03619402340084	112.56506209290502	-0.5936814148787963	27.774234484969767	-17.000314979204216	-53.62601876831614	104.05438954313526	101.2830750809137	41.08044363338375	52.24645252316731	40.58293024823501	294.08547045646867	-423.0290756534464	57.24398443767507	-22.898425497671266	-202.05468028650614	-52.17805579317131	-99.96269485638918	-5.447759659863446	-27.919922585725118	-13.960196609319654	-7.536050048897991	42.90710641655516	-11.896994903312716	-27.256230635738447	0.06913152994455468	22.89920976691814	-12.645146998580007	89.32527466135679	24244.65810277951	85.41265345790384	21.234272972649308	0.011301391365762912	5.564667517053934	21.08307677958055	-805.0350798694853	51.367164111136105	-290.58674078619794	539.3900309883334	-14.80691337700759	73.37251419136709	-221.7698367950286	-26.207920335664504	56.53009072900597	0.07282166562366738	31.604975353286676	-51.59039272284849	-762.0511108587896	-38.229006330193016	5.835497961007521	-23.76961535301788	-0.41671715592292746	1767.0317319962205	-154.11045926622293	-1594.3677134179811
4516:P4.Almond	35.42974450783433	-352.8743314999547	263.61096882151605	-6.479378693920805	-50.675545548034236	4.078490143667853	755.3076925521909	113.50052389070684	-4.591825962732758	478.1886369585176	278.76025340452003	4.248290000704664	776.055036454623	16.238143796486607	70.70622349583579	23.157771501806135	42.81800862689681	0.06432038390381724	-3.0106375341613614	-13.340839102284049	-1.2036165560062517	-2.0292937212062157	118.29404239797393	-7260.753040233615	-111.55211253749903	-1373.1920970414503	-10099.803377153872	-800.4110691879632	-2140.14516961807	5698.130204066032	-421.8683665351146	-66.59963427809299	6.9187071954701835	-34.6498523152171	-8.223798006883003	531.7980227574498	33.36594823620931	-2.541611244717905	-143.61592580964324	118.19464993200378	11708.54514498764	2540.2433274152863	-9.79184585770372	7.578683553585968	18.555541134606003	-692.3099580279177	68.10689393199382	-16.16739121171736	255.78004095094718	-3.8612086469763565	74.32875089860204	-261.2012213942367	2073.7332951794797	242.78215406280947	360.1279041603464	0.1176309627365626	1002.2137831272039	74.66847570095065	131.5954773890304	-5.024494908461165	-912.9680873643852	10.746334698440025	-14.781340825797514	17.300379260460144	15.59096956977088	227.5421543675064	367.43936286762005	16.28504256566001	16.993449592286538	115.41459342515171	727.6970869506391	-1116.8405833522863	88.90636510514832	-59.63032387881907	3631.0351071630157	-81.55646079457416	59.3350499959393	-0.13479789166802902	-253.98872925239797	-12.323811764394662	-8.532848038973142	8.139612297774349	67.02935740305061	58.5878814321095	0.026176934688501206	57.33216797905526	12.669278592949862	8.685255817501925	231.09189927863724	401.6066396085751	86.7900064315733	-2.0241732946703244	-2.772323664084868	15.996261559637176	92.00412210036654	8.500406233933639	-15.210732858635481	2349.9204825148136	68.70701113043009	124.29676515993641	106.20330401257345	-8.08461529363661	100.94751585062323	33.85309268195005	88.73478329346517	22.351789474529077	62.135071213500964	15.634224549440233	1.3978238991414917	96.41905348851489	-0.20931358039225983	1317.2927202838646	-131.3927281874246	-255.4614297657272
4518:P2.NoAlmond	861.687118409164	97.2531100751242	242.58955320477926	2.8565895591862347	-217.16888303163478	6.324668483921558	4.810123801364036	16.898467004064067	10.626606037409795	-272.68675430561075	-45.670322056982364	-24.310373728287075	153.88195975429485	-13.540480204738728	313.1323500000001	10.980134247230595	166.9435737202694	1.7970273273302615	4.38636636789652	2.2094461579791846	0.31278259984167	460.5783260079161	840.3264055382539	5708.296948369414	646.8238773632913	4112.883987125844	-2283.1361820659035	-29654.75878891415	2531.5026570847963	-9546.94052426358	206.2176194104275	153.635281551278	74.25666540032844	114.48742033315463	20.561265204819797	1042.3536907465716	-37.36461037742415	-3.2358424444632936	462.7324164054773	83.15671867853834	18245.848835342327	11485.719883376165	87.92078388805291	-43.01437258259412	2.2512796832246593	1721.1575832803783	41.8665171962469	-32.41099423587937	-158.24559029121662	-2.7918043615639583	0.1609701678354149	-97.96927025649843	-1453.9292800079168	1206.0384934156546	1.7865030593516167	179.69218215834357	-6369.023335910708	147.59290591813976	-404.53646986299236	0.9324075871363462	-226.2114483052053	0.3255352174153672	1.9211220600000019	-9.7643186970529	74.28358435284535	278.9153667508053	-303.46591949016886	49.026693967459046	3.8256632690948678	169.7650247088097	-315.45594684606044	400.8571360158044	-779.0484982336145	-5.7659019597180174	859.180519893544	-44.945103107744735	-134.73492806873378	0.5658573377106246	19.91920187665746	119.78920579994363	46.94493251255224	170.83390334417146	309.84825610761754	-85.76916622761051	-3.6575006414513203	125.81214238193931	9.606379882910453	-0.025368601306710217	35.35280287744675	-148.9875360575403	-35.85316637121258	2.1512811010269166	6.051024993764634	-20.28525677725046	-86.74343323317294	0.072091645178471	-505.94590600375125	1511.5374402220546	180.69631436933227	129.63748264868218	-213.18220683650696	-77.82317033061821	-1.1272811468131323	21.51906812171372	133.89355116211527	-43.134833276480535	-487.37292430231275	-147.7592138331199	4.683816612335452	-3.0149122428305475	-27.149013910058137	-258.2389246615776	-225.51532877390258	-195.41819474521736
4518:P5.Almond	242.0148078348008	216.4353692738406	448.3465731383123	-1.2837633067753003	-67.56103665829485	12.818623825045755	16.15349712600668	-34.99069419705885	13.401516033454994	-1226.684001702556	-63.25832272134568	30.94947569250498	238.78199455630272	-24.438936397879594	-1773.4931977616252	17.814232464295713	475.7497783590571	1.4635616308397825	0.12569324271189952	1.0050125013864615	0.5229797044971232	-121.67603265151854	498.2227604434987	3688.6812289390473	-78.28721389129078	32278.6953358667	13055.38633305751	-740.5962702099287	38940.69859495293	13810.07454923473	-468.9967762048541	-122.25055097846084	26.38682152771338	-13.670419136619785	33.25236096318217	775.2519353224603	47.79491028443408	9.186168271759133	1902.222107127527	108.81611224152971	2830.8584448278198	22909.62218993587	658.592366033	-19.781459959873768	3.5135440346310354	973.8306751065693	74.6509793051055	20.16213356908196	-3.39226346708773	-13.098820015868522	33.82689093142844	-482.446101188957	-1064.7653399468097	-954.669367394355	-954.515395076938	20.032573866909956	6283.942073616237	91.72727363653472	-852.6653971107069	7.3396836436828075	771.6949537368141	-12.101002365435267	48.02455377571319	-68.49295905450725	41.105367512281305	279.4623774367474	-999.1802287382475	40.6428243092733	-5.649333298700565	204.14450954491141	-850.7332321648151	-1188.4421871226145	-1133.1381557813384	-47.73785642190336	302.70144063094494	-31.56018046479705	-279.6978505545724	-4.209101068705871	-287.56895170285054	-51.2188468217972	-1.4822499501212008	31.757853107244728	174.8293173511206	-69.96849975606911	-3.6507570644335487	42.336188793947635	-11.403936324787914	-1.4159615571906532	233.08570866801193	-537.9610439271551	-236.31988617754712	1.0617203914657338	-3.544180429065533	-89.81564346360074	-730.348619869401	-4.277362626291065	-767.9557843467051	839.1686300826573	350.6070392670547	17.368275320341013	-1149.6181455813644	4.608641147351946	233.54670113452903	20.563998888703384	110.40599142705632	-208.32389433864708	-946.4981188216238	-38.815506673593575	4.771821862108329	-120.22891919022149	-51.9466107913515	-1048.738752842341	-223.75278217240864	-437.9246115255678
4901.Broccoli	-604.1832725418183	40.37407137837076	-503.36166925585195	-2.683271118152648	4.736618470664872	-0.06729700873057501	17.52858724534195	-5.173480840669313	-96.53810857140238	-610.541651566795	-20.719915012504934	12.166010780826355	-17.881418670560784	0.11975425584111277	-165.68823544299562	11.769122325263504	-646.7472524452601	6.549433753234666	20.387210764297077	-0.005742954336777906	-8.086136653635975	-735.227609193776	-1338.180332264178	-28133.032283049728	-347.98730007096594	-69434.57243075059	-29081.23289299715	-36247.768963334245	-7437.672147405046	-3031.698829644859	-1141.7804304303622	-876.3007620930175	-33.88724706908985	-595.7293386383598	-54.314392165715745	153.040643295154	-68.9778007672709	-15.1014975023866	0.7146119897411068	-298.23586011295805	-1008.6646735572906	2325.063296630571	-968.7000539442236	-0.07055986169976466	-0.0004195841140550924	-362.11546850122886	33.195135800507515	78.29574645897581	-60.07286768661078	3.320104433955726	-33.00214456330652	-275.87509225784885	-1334.9969758189914	-538.4810485788389	-406.7343028544462	5.77058415036497	-229.6378245856737	-29.485492213183164	-313.21290818135753	-10.41894704370808	8320.102379000768	0.28440193371936706	26.871032853538058	14.748006185112933	-3.1845531067923645	-511.08667393413214	-603.1860529413678	3.2790679483607725	-21.033169987987073	-75.85746562510248	-979.2500862124766	-2168.9618808353116	136.30473252909718	-8.515655139161208	0.5283256404872816	-2.377955625097499	-441.52656178985086	0.6860797371716747	-244.13247490378197	-65.95996124134665	-8.103446084973239	-47.46457968657201	106.20225216012605	-39.95045854165729	0.16116318155691803	130.74098884671574	0.4025544126920948	0.01790762061929245	-176.21877900590766	-624.8843568088915	-81.2938916867735	0.06116829712398597	-15.07133723165351	-70.37520361388069	-664.1855736305201	-0.02528819934222823	-280.24831542236194	-568.5875720960006	-423.2274456459943	6.488821872779113	-666.1774992367694	-6.856981518027677	-716.930199331733	-138.30018371333637	-1011.5384362810104	-29.284504017302815	-993.3485046853805	-87.74433911850831	15.167473036312039	-38.16567758797798	-0.314526878005708	-504.6755862637099	-5.920524454677626	-315.83064125156557
4901.NoBroccoli	62.03510149926933	109.81229154363953	118.88256026084127	-16.447373884283376	-12.02104420215946	-10.539689803315337	0.3281607722106019	-1.923171562320391	-8.794287956929104	-570.9885910806286	-9.899458425625406	-49.58192111151964	-124.60900581150412	-19.738771878223858	-143.99884152676162	-0.7614076792388786	37.21885656437922	5.362849857478167	-7.083419026821324	-0.0049547801852069875	-3.7078252626152257	278.38620883660906	717.968508052443	-3402.0115032323065	680.5814222265424	-17285.366100117786	-6076.277026664947	-10607.428822898773	-1810.6607352801661	-514.3193471168654	-319.1382416155453	-239.07439561788755	65.82777619621956	-74.87089699694025	20.005142112933477	160.04822535798837	6.281899009502933	18.738832448481567	-41.30273314543256	95.86410027093456	-299.77865212302163	26404.48397426551	209.7833586086653	-15.044145624987443	-9.939204147277316	1882.2184375956354	46.32679123065056	53.639859065636585	-50.211639503875595	-7.323182663564879	25.65867952086717	-335.90219651904823	-744.855915820458	-365.30556482543045	-383.78484167046525	3.2943891239782808	-306.7689585929584	92.45395669486004	-421.06706499109305	3.933969651906125	5044.188120952478	0.10340375519340173	-2.003521834067797	27.962620848836057	-0.8096554470138941	96.52790892768444	-414.01020191036014	-12.045884533304903	-26.695062123328967	30.799800454377788	-428.5209638292437	852.6728462082879	156.06110382749986	-5.760999387871975	0.6102549098806926	-33.679250013296986	-32.98428912485719	-0.9146225649627349	-158.83831593470114	-8.898837327829735	-3.263212354849334	13.960912934992717	311.1875300921283	-48.33819463853161	-16.580983312041738	98.598632602444	-0.37915940499915324	0.004544512937023529	109.21029613327178	-79.91075978462692	-62.875947819573824	2.4026655894210007	1.4784167888156805	-46.13555181928869	-216.21126351854414	0.24079828277078563	-308.46150484646205	56.101734034341064	601.1831180890634	18.237085965504335	-634.066637602265	-3.65397937292742	-104.33739236414384	40.966243241361155	-2.407043544590408	-48.1671574360153	-525.681069340505	-47.24748008412317	20.75455611872355	-137.56473415620104	-24.80145500041438	-450.6866070682102	-60.8071957041541	-137.98778734187712
4902.Broccoli	-63.353527892536704	51.928861863158716	242.3769605285068	-11.471298369249489	-260.6217714487895	1.7299650856686493	0.5271731669450812	4.289158788597916	-34.99483486685132	-340.63322414247915	-43.26738250510365	-39.326419643160065	-442.4485557553134	-11.337981492871311	500.70110711267705	5.035602402896778	-196.00022491797802	-6.9062951148070075	-0.019108030983327355	-2.5957370682796537	-11.490357893773165	-281.74999650214045	-36.97375856768764	-2646.0695037195537	-55.964250753257325	-1055.159614312692	-1131.5871957940376	-3095.0635448678922	-2936.713000710596	-3297.5559275054384	-87.17792676406194	-62.31729503960871	21.867952582404325	-16.14428559780356	18.07059370521111	403.35969327107796	4.973888152918672	6.2295720346651	-9.393998756827873	-57.910100858449596	9816.399772826951	734.4669907369962	-36.37873540909566	-1.4198275873793627	-8.479602579030779	-151.01492713156586	110.14426388269632	116.363587668736	-338.31940186339443	9.621203206429268	0.025194793201475774	-136.7992466984685	1011.8473736839751	566.7913398943447	-548.560533964639	-28.831175243050595	-913.3541878827341	116.16675698304377	-155.0168775112747	3.508136697328567	14583.388903648723	-1.4688485858656968	-159.7916993542904	10.776829523937906	-29.763135841754192	209.38745245520028	-324.65655323073327	-21.341666159693183	11.002200096975852	20.843707522788137	-509.48316313685393	246.8047969989732	-450.1727476763527	-8.98053448932305	642.401529354534	-43.084027910700904	-49.59055117027763	-0.8680978359231859	-49.620526876664655	-4.115973482015775	-54.384624554938014	-3.4329317150423826	-148.6976095277845	-77.2719222463032	-2.1233348962959058	98.95188030203583	-27.07587285020898	0.03560675300400043	-11.477991853323175	-222.68497423371613	-27.207663618505254	-2.9211737525585972	-0.45495085563926274	-84.50852363132256	-541.8740255067604	-13.310873124727333	-88.01965300809997	-192.8892279810243	-23.63362041211326	23.322729265532487	-230.89173347651368	-114.51926312770709	-23.66798786153493	-19.58521826959273	-159.39475171029073	-27.14007765917569	-283.4622569857372	-268.1644493619785	24.93460248369738	-14.442143408066164	-8.50441660489979	-228.04881236305567	-252.41089673670797	-674.3355869408928
4902.NoBroccoli	199.710109642754	53.41184882370409	286.99835625678287	-8.762803702603879	8.565304401740091	7.746190734498706	6.183773334898779	-15.23558223031177	-22.350275092081734	-235.86143612947154	-60.20884525705293	-46.87227109063974	2.164051251892346	-1.355227307908736	-361.7278977119581	-21.533348583194375	-51.877393118508934	-2.913395327839536	-1.8705509526473667	-4.043142534463471	-4.081073989343612	-128.21830671418186	-169.31890024946682	-1321.1338867799873	-62.844266334937274	-179.80974429873277	-1424.4161775642656	-1569.933658649608	-1799.873331931803	-811.9447741499582	-222.13222468843952	-392.3269362494121	28.138838938446767	-169.5157928835893	-29.288019841215487	333.4315651252359	-10.542574397550254	8.19856306656387	12.218611792350993	39.374897065091346	10955.81692194322	-1145.233585300853	-46.038936952981224	-12.343664226498511	-6.882110744293552	2440.653538000558	111.991859613667	167.27180122031285	-229.56979952749012	-1.7217376596030114	-32.045103511966644	-37.26756119294286	-10202.752380482872	-473.02651790162054	-918.8224732874569	-99.18316324344036	-204.8110916586457	104.52197732565794	-203.2478290104418	-20.617591933448352	4952.833509450461	2.1544954760207142	23.79769370822018	-20.00263647626808	-7.1549034095707515	74.85895407885502	-187.29664675172234	-19.82716885097979	2.965720841316159	-62.67097658218071	-355.5678385032419	1047.4977346021537	-302.2231834545821	11.692826833514566	-1338.439415969914	1.1019217817327203	-16.742169341094638	-1.2885027643022462	-21.586959075470567	-38.13356204749086	-8.265837398278151	6.986633574722793	107.4127566595806	-18.572984590412982	-3.388471396177811	38.33607171496966	-12.380965569016968	0.025768910567795966	-21.3399200785868	-147.50342695610522	-35.785560908931245	0.17825249522743913	-1.4977444643631435	-22.79478652790671	-12.760662459279501	-8.391497659961113	-200.0802606629593	-95.54368526384405	159.70765537411887	15.004456947835308	-109.6131478734789	6.423510545277161	-38.18243901917718	14.558010960600036	-33.89173708488598	-2.51122494687003	-221.90813055166956	-8.272263924000683	14.481575048875284	-72.98553776084094	-11.749959631916795	-214.35184140105358	-23.211206653852727	-45.23006746597339
