key	tyrosine	urocanic acid	cholesterol	proline	c22:0	c26:0	c24:0	c15:0	c20:0	glutamic acid	serine	arabinose	c18:2 (9,12)	tryptophan	gaba	ribose	pantothenic acid	c18:0	c5:0	c6:0	5-hydroxyindole-3-acetic acid	leucine	glyoxylic acid	ethanolamine	threonine	xanthine	orotic acid	glutamine	butanoic acid, 3-hydroxy	inositol, myo	uric acid	guanine	c16:0	glycerol	glucose	arginine	4-hydroxyphenylacetic acid	thymine	mannose	o-phosphoethanolamine	n-acetylglutamic acid	inosine	glycine	c14:0	c17:0	ornithine	cysteine	nicotinic acid	galactose	hypoxanthine	benzeneacetic acid	phenylalanine	fructose	c23:0	c18:1 (9)	isoleucine	lanosterol	maltose	c10:0	malic acid	glycolic acid	lysine	c7:0	deoxycholic acid	p-cresol	fumaric acid	succinic acid	urea	aspartic acid	butanoic acid, 3-methyl-3-hydroxy	uracil	b-alanine	pyruvic acid	valine	tocopherol, a
129.Avocado	171.8782415621412	13.36642140033997	8824.043794931897	51.34448547706284	431.06491848816864	45.32034002768499	239.47470250257936	569.7898040724434	474.1769668239312	2060.517071373108	89.34231926	170.17872038651026	668.3121586700103	1.7393534443354204	9.012442101	403.3836537580168	30.251476926230527	13805.89638382706	9.789077224042764	37.2074197754046	44.65326205313024	227.35781669759413	396.4684484950749	92.24359923423673	63.00224969897712	177.9644668993621	7.125408212489908	873.1283113	5.283005943970511	16.944589314594083	97.14693686534318	6.619333565875508	6464.961852685107	597.8022863465397	850.2095999	0.2198027680497285	0.4863835305683776	32.43715326697254	37.71461770105114	23.606682368959795	76.90185421324053	7.416262597	270.25674155832496	332.742582443592	125.26965025512692	36.26326631	0.27480049858690386	76.77874283131776	81.97645445411428	25.026881491931405	191.3186071156173	79.80612959	79.77010977918084	58.41440370536491	5301.981272	141.7477792303068	103.6696684344545	32.41041922600755	7.094031284858741	29.859602314550568	33.618543267710734	594.8330105529755	2.128389110102765	564.4414981740711	3.738197733699948	5.282856173432891	136.95729369929617	6.131605810119427	229.68562527853655	0.8342218945374991	130.20458946967102	28.993629066037848	7.222983717748649	181.3486819673997	150.17828790760814
131.NoAvocado	100.59123520902382	0.6850605950144424	14756.437131458071	18.62891694517741	65.89009416190223	6.762868480124226	54.40396116698697	39.745610813528366	138.76813093138475	975.3975239705636	40.94165319048772	175.4168051525496	409.7759262332139	13.347960223788764	8.701073862439673	394.0956888612907	10.578154774256324	3559.2646387589184	28.569160503976843	25.49691512501051	8.576849624370311	75.34606072193831	1098.7989410708062	43.87826150385887	40.09073910745783	49.95482399026773	9.33437605139576	0.0	0.0388554468322271	20.098318489125084	0.5609514971796405	1.8984799634275416	3960.320067375153	144.8662022081307	3926.222379583459	7.338777315272649	47.96295637083575	5.928415206025785	13.530894680380303	9.972177528	52.73670069968324	0.0003468942542693422	83.12017156408479	69.81731396	48.79016688900436	6.976310302602062	11.275215163140242	48.14885377303495	109.95392385178168	51.09029059035934	210.2642279217087	22.215178517709894	86.99735049979915	7.923245771	1752.1543458995484	44.79918889421055	68.77732004847904	722.1273476796368	2.889969354732041	8.966092886236064	13.358385402778682	398.83256097813177	3.3066472981502124	1815.987388	5.628499267294718	9.404060142538912	44.83979222290813	3.689415975169593	309.8830682777885	0.716154927	25.71342963182222	33.474810781728365	4.012157568952275	59.79761956019296	93.36439139448504
132.NoAvocado	228.4012290894929	17.036113232962325	9821.244689699492	69.73340960553121	222.06352773665932	7.935008969377631	113.4593260201128	84.09902416708394	147.61496701758108	819.2249325567891	91.44870795948654	142.26201264293655	941.7988382255594	32.379072800621714	12.530684661749037	527.6036497059379	27.32988397258824	3718.964482401833	103.2544738425533	39.93449345808298	46.55081263186316	317.51613321023973	70.26227102110867	73.85754171742451	86.94479774	102.31878865367946	6.513450741250851	0.0	1.2665912997869242	13.862849842419507	27.94149564016348	2.916282103375438	4821.762571523144	227.59374985296887	9766.087945756935	4.097181341747242	14.209888456589049	14.022276933424385	41.95048698267078	21.5016850314244	87.50896087	74.10816490036727	165.0022943	157.5809632498672	138.7133364119084	30.23772023602353	11.4511355	172.2458832	93.58218406661244	31.07717978782657	340.93227189281424	93.77055476640096	93.97790488178526	11.24985880026525	1465.7180139818813	177.55793692940156	58.17912097910903	1549.9232279792236	4.758613975261505	14.453868844073288	32.873106988580865	731.1174558158683	1.2114560974810722	1672.543349	19.78148569889742	4.954956029600243	56.04925096094632	2.607487011631476	100.42521235968468	2.554439545041164	41.52079301358146	23.18136331	4.376748133473644	171.25591687788813	46.22759318426638
133.NoAvocado	112.3458612221891	0.15131230437997312	1047.287306968729	23.578810421257725	871.1267974016691	58.14368822449973	454.4119794	420.97471033799707	797.8509111745893	796.3762346870956	69.50962853320743	122.9343742385305	2144.6793636745933	11.30711338299438	10.156596609024731	376.0511782243672	9.17544355501988	25406.817882780462	51.45031835931193	71.133096	0.17764704566089629	83.66834655904964	715.5410329038456	34.37838866444952	35.770774178355765	77.82135047761236	9.509834038233365	0.0	20.09612297420752	39.85329610044872	0.14372096689670427	4.4165787932513565	11041.653933806563	843.2855369566093	610.2321619635819	4.173375605094425	14.40103158185225	7.533071407836646	46.954228692931984	15.841790843745809	64.75721360450387	35.82148321072868	116.01981958082136	437.9848105986504	197.7466551832949	1.2229281502849252	4.285914071676416	79.92866662556565	91.91768305	36.81086536209229	241.43982603777144	28.101922664099543	64.15293096872666	23.05426106664581	9514.765714039666	81.96014163299631	24.030187531787668	74.10291051163544	18.84196405512481	0.44555852929028483	12.487321629866589	284.12459885374454	9.367715302767175	246.55832459492157	5.397398235201125	11.921626788460864	36.20791717453542	1.3363386886519677	230.88233894255296	0.02376212287623049	50.8388074623412	9.193903422067914	6.527008653718782	92.21081684	101.52715588783909
134.Avocado	121.69075081511652	0.7248393453788023	5132.900604369531	28.693715003544877	89.66722635832546	4.528750103390544	56.39818153897957	67.17846329545051	175.0364307944476	176.02618011968048	32.07416667697449	193.558739350342	5129.536959235108	2.103703652850081	429.9700350072216	185.27255911250828	14.224230982899758	4614.470798225214	6.143903022492806	23.208550398976257	9.374041908323097	220.23706094296156	3.086761717796036	33.238993391984295	51.82346388188409	83.74319961	0.032496229993084845	303.1884610954701	0.03371451365813798	1.6545396475073602	0.03101351431869156	8.591925685842195	5044.804956360634	291.02347634712714	7247.7939573844	3.300370184590138	48.44757557335012	10.35889396391186	14.09495419445354	16.203284427034223	0.7685459057514017	26.929139709505854	100.94864349144648	313.01026927148075	117.5049765391879	0.9932614433596068	20.73887957776824	36.61916681145685	179.52238543924358	43.447018060382725	36.38036927	61.45043863716717	16.407467180718754	0.0720595782315415	8450.686258925203	158.7324740857521	42.09592814652252	2228.9612253749715	5.2738585495835695	25.26757403036737	20.591571932905072	252.03625705957757	0.007898525329755254	900.3333065469749	1.3208158833329795	3.500879986041588	4469.714352592672	4.4744905817654645	181.0973028361562	1.6865528844817252	34.18622551257967	136.2460483561164	0.09163014199237499	571.8872885635913	52.14913231321739
138.Avocado	523.0224097	19.077499598039363	9881.412066003091	89.43010662451216	761.8933970334369	58.64945702841612	373.21586689211296	557.714761	592.5381564	2809.510309050622	254.6520618298861	5.78180470163112	11873.431657437788	2.391695354407081	30.535239717930317	1521.6172081650998	19.680442656788134	9806.247267	327.81433866080727	205.86118632063489	53.27328483	530.3412582758091	371.4586144349785	88.18974259152132	341.5317837867899	346.63059096421443	0.32786883029357433	1608.3730338728328	43.77798281230391	50.91140747	228.36026864606472	14.551922804223036	9966.795642643368	3428.650980374846	2005.361143189324	41.39227924512083	80.98035440022005	52.03067833259772	44.216525078883386	35.810921404918055	260.81674115091465	0.14717366731040632	491.7701414736344	518.0734272959535	165.11305544790116	148.20724406355592	27.177987735301745	182.68151554953232	794.2601708963531	94.73353883	743.2297725754453	242.8670618210648	190.49538849499064	120.71194738241336	22679.881430885896	446.241633602341	177.91865781697547	108.66752208262416	16.890534584390863	101.77179882983512	108.1542776658092	1518.8280008633428	5.482689334075596	5313.684618954919	9.233634262316734	11.067971489862977	248.20188855007763	18.514500465776734	1096.5339424995343	13.986681205912063	263.2458924977844	44.22689648435698	12.235175068026567	468.4609682882398	300.2094414515518
149.Avocado	138.26077524744156	5.7742747	3644.59982763716	7.636856188783992	218.85143540211612	13.993168709398006	171.3692873389175	740.3103118940825	316.95114757490614	442.5330062433756	93.58103990171176	189.42198278530103	1844.0855947212824	16.153986951325624	10.693518383896922	2.774335059630272	13.27697725572518	8712.721318340275	105.0812184148879	107.65137529264204	54.80618065270532	195.96580807465315	904.7853117475016	46.06223577529748	75.39056300534452	136.9396453814431	2.9743561067792763	383.45907729871766	4.3928323839565255	31.66207139493829	44.62395766603262	4.992555809968965	10977.000958586208	352.37118345480854	2785.6017934010824	2.5791508396565237	16.070849488362338	46.21762725152704	19.538059591490335	25.77926451565609	31.848752789046767	0.09871185819534439	190.35780830022048	404.6899667951641	288.6355858027755	15.286334156036046	4.332444354040464	30.67092167739234	86.70141484149974	41.01443134221383	474.46784409634535	68.23439251	94.82946227737318	51.75019867319846	662.6364918	141.9363580645603	110.73063576177864	58.96985595693031	5.522292608068675	8.869558025994186	28.83932778879934	14.475650131608832	17.381851699781592	2501.553732804621	10.015872481234346	4.715556899277649	40.7400021349232	1.7599445114210053	66.68236724	1.6411335188952891	101.83371795251836	14.078573557714838	5.296385447343887	166.81146488073472	52.37773536
152.NoAvocado	395.6408924440187	37.77818500922151	23215.60576228377	77.89918965	871.8464410449141	16.02035846509722	242.2661289313908	165.43947127344435	507.2861222014959	904.6799282375862	171.75098192001082	305.5668917871658	1125.8480434870269	1.612454078323265	25.396611128571216	1270.9123645177854	169.94805806210204	11924.226235355964	165.1304024531228	60.97985633	5.314397362388565	397.665904901828	188.94980810104485	73.60260874583182	158.59424891888463	249.0573079341588	0.10106577181441435	540.1111399136634	3.580035965708116	108.99858431786416	70.77339894867347	6.38706379	8590.400487770448	550.5964912146549	5637.148023502535	28.21143625249147	31.18153518566419	26.621728205383008	109.12804637700712	38.62311651671214	79.79353012235546	0.0330255553579103	258.0340162157295	355.3245520073631	235.9656420531003	98.69364639524215	19.563155603824445	213.9970195497484	245.3311398206953	59.93649699	374.27790501485066	142.22973378566076	166.60180664556276	20.523164497219923	1983.8636884316008	255.80506404481548	88.34595776	719.5671981137566	5.832111162761902	17.623510132054385	59.43720094745788	1818.5624175702008	18.504201668342542	2758.2459021164364	31.334523579542367	15.739790118854906	60.92648515429658	9.690967804	76.22747552	6.073155266649047	118.9214545643862	1725.5972320286878	12.958708480754876	263.6203780076572	105.43024430142442
155.Avocado	346.3770436285635	5.798003517706079	1304.290168555017	147.38649912013406	271.4546032132261	6.273191881794106	62.99929415832823	167.48731965897363	168.23945767831384	828.5510294	184.587449136868	896.5266493026959	1403.5013356133963	55.25115387601911	6.994591311304624	935.1865233403288	20.17056186396132	4217.623064244738	133.48217516190704	173.76776786361282	13.300738992686597	403.5875054550036	122.54931540872164	45.585026370600936	151.1139310704619	123.5782015187905	0.22062526381887035	269.5309721834598	5.090713604838683	16.196112590117117	55.34850954085666	1.9068003920563013	4178.415237050043	781.5012336439195	1625.1968135216766	2.431372064395257	6.063967906428943	17.09176455	55.92296843275523	7.868171956037393	24.848874453773877	10.69632378488961	289.2877220807307	261.1991010411724	65.33421759824157	25.301286026709423	2.3161779392303337	42.06298866969229	269.10778746642785	37.06469239886607	100.56779708361552	155.8207650403459	76.25316939930731	9.164030277	6190.125932283667	286.31464535950124	47.63080550159199	146.58689265551595	6.351197352378226	23.97559615582631	6.473547018126449	497.9098257788026	30.02303577133045	505.6967672318802	2.301362946755056	4.788769948675857	64.23488468721882	3.510246176285464	189.21748702330876	0.9252819450036416	132.09057369184816	10.192714822991864	0.5970341185275649	323.0719518600707	69.24557717623865
