key	HMDB0000158	HMDB0000301	HMDB0000067	HMDB0000162	HMDB0000944	HMDB0002356	HMDB0002003	HMDB0000826	HMDB0002212	HMDB0000148	HMDB0000187	HMDB0000646	HMDB0000673	HMDB0000929	HMDB0000112	HMDB0000283	HMDB0000210	HMDB0000827	HMDB0000892	HMDB0000535	HMDB0000763	HMDB0000687	HMDB0000119	HMDB0000149	HMDB0000167	HMDB0000292	HMDB0000226	HMDB0000641	HMDB0000011	HMDB0000211	HMDB0000289	HMDB0000132	HMDB0000220	HMDB0000131	HMDB0000122	HMDB0000517	HMDB0000020	HMDB0000262	HMDB0000169	HMDB0000224	HMDB0001138	HMDB0000195	HMDB0000123	HMDB0000806	HMDB0002259	HMDB0000214	HMDB0000574	HMDB0001488	HMDB0000143	HMDB0000157	HMDB0000209	HMDB0000159	HMDB0000660	HMDB0001160	HMDB0000573	HMDB0000172	HMDB0001251	HMDB0000163	HMDB0000511	HMDB0000156	HMDB0000115	HMDB0000182	HMDB0000666	HMDB0000626	HMDB0001858	HMDB0000134	HMDB0000254	HMDB0000294	HMDB0000191	HMDB0000754	HMDB0000300	HMDB0000056	HMDB0000243	HMDB0000883	HMDB0001893
4902.NoBroccoli	257.8802209906729	0.2869074815178839	21330.59093886465	0.3051382660914148	126.75617532197926	0.6628613445010263	140.19456848676992	201.31837276059275	93.36966677880172	851.3383807975747	99.90451335447278	144.49523116493404	872.2167256817834	54.12855376312997	11.745011160945117	515.0060830100482	29.38419766465236	3246.5424305151096	363.8717391668324	54.16875274244974	0.10997557492394838	186.1853413738528	5901.134791	218.30621017750929	71.79349273796394	61.0823490763993	3.7127526056124167	786.2650268	0.05817539502234764	15.286289995396617	0.031657652884283446	6.195667687660443	3606.734706856079	281.7778860872277	12704.347240230529	11.593008770392215	8.924801518042095	37.36809182299095	8.389024497	17.156170642818058	33.41791399577111	57.67485746999644	180.1379074	86.53018731	68.78987525191444	0.5813474427066375	0.006948665346101034	49.65453299	56.53735197705715	55.69128908418625	92.2817819	141.23408896761725	0.372495638816465	44.12403278492077	2087.176230134494	163.6374826297698	39.201542145403856	3883.6058050300862	0.3268801079298749	16.63860878407595	22.22501069142104	427.2818603894674	8.585622630031487	3530.28441360754	49.47677812496966	12.20039022355195	92.56882773766556	22.93351770193209	493.4374462778328	0.006384831468911914	75.85484586736504	30.46077658	4.607808004529299	193.70694727001396	27.11609587834438
4903.Broccoli	337.70807535691944	27.40821818	1581.4979644830555	3.490500593324507	167.67674376168344	36.783119301860864	156.44382869282822	559.7812367400178	285.9251733800278	3223.066294	182.4087312349569	178.0965190954014	623.2587492660571	41.534267285356336	62.13853651725275	1377.5633465337746	84.01734538488591	11342.734747951145	234.48750848443032	138.06557012807778	5.858685092750026	796.6410678395741	4729.897577054929	116.59968609141032	276.7805288414324	206.6122743871609	9.777185081377596	1593.0282327229568	9.655110668214498	52.94453016994487	0.5740157635901594	12.820769179054151	4426.895582497939	653.0375165855307	1067.1242713240094	26.585028737809537	21.04379623522214	48.29801739773205	36.04387448994583	46.2620644731136	158.98936100798704	29.46574842470433	532.1510382081532	363.8107180359344	118.6114014812119	54.67810506873802	0.03415703907257978	110.77410592426386	123.77222291905132	110.73006455002344	307.7457530481619	298.0661092654376	138.31474380918308	66.43951663	1875.047616041151	333.6107496540941	112.81715276151164	91.10032156558158	0.282259125075138	53.74702903613812	51.33184736554328	615.9047265069825	30.86856964715485	1294.1965720529372	35.50976198489566	14.114521494828676	556.3797056342529	30.335639460876237	958.1957650021436	4.084615776031109	195.2738373679444	43.923437942976975	9.935024637380248	467.274842575364	24.86268586734617
4903.NoBroccoli	478.5249251469927	0.4338253062037217	1871.4093757486903	16.38207137658849	283.4627283702196	53.13631813212076	291.1766713791387	818.2848661788131	539.7597912819535	3486.409431484618	286.2589255690153	1.025254996496139	269.06616990617454	56.24827298947706	41.964801112429605	1479.2494236291864	85.80534649	20982.732903592725	191.38038505926468	66.61961254517985	9.043609016	1233.368492515438	2449.213264466724	131.52854852861262	402.9465876499513	340.16887761414205	16.20151993084405	1539.789180522797	8.280481925198268	41.98194382243903	3.514532047255081	17.98906219231082	12335.105834617903	526.1025813108956	1082.4534744334237	19.012371381744465	28.721504639502484	1.4548675977274113	21.406267885963995	15.060423733926289	177.99552298109842	15.316458402776744	777.9986681706936	423.0956313034498	258.1114252195058	51.711261238756535	0.01276939000723273	92.14206630066522	292.8845829876584	98.32256625	198.7365431205676	436.7849147319447	0.7937523325121727	103.68546952943184	771.1211235130407	484.9387871484226	146.37109394822556	108.86616239147403	4.144111897117392	50.96582984866923	40.474491322900455	605.7476120146893	16.45617212308085	1048.713579686323	54.91501254326008	18.395233821405125	790.8651015	24.01444826530136	930.2920154365304	2.5199783713856347	241.3170993167228	41.92858022515162	9.769132743	692.1319397147693	83.64895947228554
4904.Broccoli	251.17432640921697	17.796718852012365	1099.2399870048623	0.3318539221660706	1062.6195006813552	75.61086095991222	436.0605410169496	410.4428996806944	620.5170905805418	1933.12451825626	108.85041819349676	74.76935778709489	410.18131698235646	36.10641629186407	65.62487778330622	190.14188033817751	8.450321744499686	17648.31269129203	426.8920492494749	44.542913081514186	0.16417924569357323	345.4397810510175	5701.483051439581	69.58791023531614	123.19417266452814	71.34076898440127	5.500876771724082	1007.9523548747392	25.30439696453208	41.243478462283655	0.021485016505699128	7.282476874312232	4902.563650075756	346.62799953887804	640.1077792315866	26.38601777421037	6.597050165454549	41.78701747663258	0.05272420136069817	12.089923015949932	119.88236834885323	34.19093241599587	300.08738048160086	105.54443491144278	89.79890278	63.543858263844456	0.03593597126152464	71.34586238881953	103.51725995297409	65.24541915414561	527.6326762	136.77864606263694	103.54563749187584	90.7862956095256	1081.7987150183249	186.6925541032095	349.72988282960023	99.35558472865188	0.15456504686317185	32.31546814627116	35.37187461183029	758.5123326699409	7.804914641785499	1291.5916772313635	98.16518335318356	16.41167666484612	111.91119043427156	23.27904107906992	725.0599438945931	3.682167579802873	106.77631115145982	44.97585245706655	8.031571138398203	219.42022419275867	0.7421614640307487
4904.NoBroccoli	539.4322600191534	27.330185336088327	46427.98351346397	6.686951017540874	242.52556441671985	48.29818731823946	187.6902896640277	1.392132663584908	280.91871739652305	2769.531752274201	175.00234549786586	256.8529023614231	768.0702128020538	74.57439535352052	85.97958312874299	473.5711989674113	38.99298671363196	9634.249814	701.1866647720267	574.3592011126443	5.23877558299032	324.6914039069766	3908.4729784585234	99.84481007546816	247.5602220055293	123.09415313384474	5.380292333602674	1301.199096696077	96.27653919206548	84.60690858795077	2.178143874706505	11.143400756663432	5377.434681684143	467.1077154	2965.017604069146	16.338924571370086	32.908145838776896	26.14683213	81.07468084478448	20.783612864731296	97.29712916296964	42.19817038433751	515.1642239972537	102.37921193630066	121.3212100356905	2.731190094710166	0.05404640268427863	126.39608418097428	157.15378245280527	57.09992216396604	316.5953558069309	205.51570921904167	201.5900421450845	57.96533693111558	925.2763527	248.44840086124924	438.3335281	468.6071100531699	0.09489806000945145	64.59689533313527	81.52920381323918	1062.411775024085	65.99802498464042	1601.2677242009322	69.75182318989147	18.84828593477521	197.66741028293671	48.299704924144166	1211.0965577257668	8.334312227082007	85.79898802608486	55.313700014145766	9.94600969786292	304.47158163583765	76.59812283
4906.Broccoli	119.55647687404692	0.2850203547042937	3570.6182911196856	0.46796268752532233	120.64423241987548	37.10055903774607	119.88786286591562	143.2842198246579	126.7472999311917	1024.383413661399	35.17396688959948	178.67118442811497	476.56695380559614	12.664510150316504	34.50512371211792	765.2851019731563	22.196284328646755	2201.9744133222844	566.8547115718626	1117.6323961763792	0.2290011195897967	48.37729548471013	10808.543187130104	147.70708446727804	73.17407446710517	144.27584813620393	9.060244797533874	610.8319093904934	23.61593179915603	19.6003430702066	0.04264220774088776	6.2027362752828505	1342.871660353445	377.0165781169905	5397.518402390298	11.03945395812984	23.470223149296206	30.508760430025003	130.60048422748486	33.83729240026039	41.83356049413033	51.114392	166.7498896	56.849646354684566	33.12696273219374	1.3422060937442186	0.02496827912872467	99.0904827624856	101.44610593521942	63.28713545474158	25.09629120710689	60.13618590152287	362.6597227104895	33.832233072140255	613.0742036133362	70.58572220084521	0.3288836392411726	625.3248607234258	0.20413383850911584	20.52316451931883	76.98172481031713	422.0415627893006	70.20526072621121	1327.2089923591373	43.98428088	12.300744458478954	135.25759576206718	12.384729305273156	372.2092045372402	0.08222693854859318	110.64902378574106	27.050203727102197	7.002616051075853	86.26559191076089	0.8362078381253041
4906.NoBroccoli	155.17684631101497	0.1687389646962765	6961.328773388707	25.849982605789645	99.30085501184972	1.4103856310938043	87.94954133631074	91.57021584510431	135.7119549617855	2146.960891570136	97.01737999081509	922.2469586583672	7.034427159796937	52.73589554221556	68.00516015990169	1240.6710349424036	31.430358535432987	4487.702824	627.3941086326308	1169.37151469811	5.784004841867222	108.31932908157252	1768.2789911377956	70.17538701584924	192.3022808407308	102.29104214001428	6.465308706830183	1380.138691071356	32.777358345170626	94.49107476964184	1.2961833254036932	13.954206598101251	2746.912283787996	460.837273629917	8462.643001103233	29.73417688334353	22.34291923697125	18.69211781246541	233.5511100992581	11.549860939329465	84.11398569	101.67471078002112	341.12452578578586	86.32377681	65.44146852525417	64.10390606260712	0.04219364858581826	133.24372572270818	7.494342514592565	139.78199238204638	41.76860929828596	87.50271924906012	1007.452772815533	25.11459548249984	715.8641559584764	118.3102128765142	52.05459168	1193.4400165531067	0.004765422859711191	125.42524663304266	85.07296534812137	925.4883244090968	81.88277905661391	846.9870194100185	19.429682785083813	19.85400042927225	288.8463416	30.97954372441328	1082.1098107747482	7.036994155587063	126.62741946242858	69.99571444623993	1.9785761150309529	179.70269652501725	36.26772486913644
4908.Broccoli	329.23096238925655	0.21970186757691285	1274.8306915927924	0.16014871978824033	163.98168597975655	39.4967286506074	161.68329038111844	582.7749368597894	159.50739169075942	2469.472318173924	171.46536307730014	194.7445113555392	324.0819879636811	49.25827995751555	54.15626201	1031.9663638138982	60.29626167723879	5088.522832767019	330.8815135142125	411.37240080503454	3.696375778688852	573.4831675104052	10444.46083629877	100.8910425108219	143.79811034501293	216.6433594198708	5.7781917920706665	1238.1526546873276	52.802797455580105	37.04710619870726	1.156143500303944	15.279910739407503	3401.553503265085	591.1236694436337	1423.323464376232	11.624577739265758	27.41405036001968	126.16044983491456	117.98820119882294	59.95876375210909	116.89646328946984	39.28520048424922	538.4771502602138	160.0488406539001	135.98956386958488	38.725755841284005	0.03612430872518561	100.61479303983174	133.1598221456023	84.92887450648898	183.0984650859565	338.10883110267724	1655.6757894281684	70.76090735202702	690.0452900115565	313.62176228042864	285.54124033954025	102.59431782052692	2.948765781769207	20.383738108581056	44.38492357556806	512.1021136247981	50.76454993019444	1355.3001103532972	80.07982807798865	11.16679290162493	300.63645857548573	61.66330191653864	853.9512047078414	0.020675627067007107	274.02147954241013	42.07800370753941	7.750455158099814	425.8844958719299	22.710232224839867
4908.NoBroccoli	70.2680095	0.40089411534509917	3698.697113803823	0.5543602304354058	79.81063300984835	11.982773807549384	53.71090378470008	119.40258158158778	49.74770933680265	930.1152216814112	15.352428992082212	3.9684756120879565	298.12349314219614	11.286845021663671	51.95828312967065	493.5566945408703	13.049064694429443	1586.3816661986505	346.8969021787588	182.93088075614455	2.4589483767961817	29.13141899354696	2698.955416971763	81.07770335104718	36.3086845468338	64.34981511	0.12344543258029171	559.1619811781309	26.36850172176621	21.273423099123637	0.023697693764061493	5.402247190205925	1809.2804570545416	240.2838118536465	4066.460680705128	7.237659373211404	21.76537275811181	13.16225311190396	34.87843090411696	22.85526123026041	30.006929402916978	71.04592989841187	105.2476300521158	46.53763782213672	24.321911148560933	22.79406749219115	9.919784912377828	59.08315404	19.093246195754084	71.38029568289488	50.32764999	36.97741611579984	97.07046681795872	17.958962266574847	448.671687605676	35.81193537897744	144.12245200713508	1129.8639814707217	0.26786684083948775	16.312730724790022	12.63110746382567	387.2559722512619	18.07855002920693	1347.232938192328	20.699881789376445	7.891192497428214	69.06173294	0.27273469546288037	373.5041794667168	0.09373023750823428	82.71113620251685	22.74167285371355	5.390648377107829	62.39961467239044	0.3835208882707341
4909.Broccoli	384.7677855181343	0.007842364680892439	803.635893	0.0018115945206628162	270.18063631769127	65.37298644056278	227.20679905236588	1225.974848097768	361.498513693584	2304.4361030700784	127.36480548248424	124.26457166178872	283.3202276	37.38538053058072	34.744797758469424	715.2970687376334	48.48707837393798	26022.075989416207	314.49131883550723	55.6675992	0.01938593819238407	545.0021410545843	11355.894837687616	100.80854650910734	150.27857097155612	159.92256426573206	5.528669954998697	2030.991944307439	0.0042744500929107945	18.800692189992663	0.009447629875016557	0.03916788531813924	11881.174412980645	536.7165291109795	355.8486630075949	20.399827831046064	27.34827308786041	64.68479560488532	22.98930254950359	26.778048640176245	113.383377748032	28.61922430891069	628.4869859808629	498.0531258047549	291.7501635653792	2.6591822409714165	0.045589062814734065	76.33807470654362	100.37846741609638	39.90960408619728	248.73421840679197	408.8911083	199.9298843790409	84.06535527155341	964.5536178814529	412.3076334486214	43.25123507	33.12059024	5.949106019018364	6.222325173771207	83.46780890839399	421.0869684765795	11.246986146825837	751.1810296542723	111.6283464716196	10.965409700280556	204.2972122091902	69.62395505421732	872.5571926988739	3.161949206239661	209.30194425566285	36.70683272389454	10.20650331866707	500.3661670254626	25.997927594781952
