key	MAR03989	MAR08582	MAR08587	MAR08589	MAR04087	MAR04089	MAR04091	MAR04046	MAR04406	MAR04518	MAR04519	MAR04520	MAR04646	MAR04648	MAR04649	MAR04650	MAR04808	MAR08755	MAR04034	MAR04194	MAR03831	MAR03890	MAR03892	MAR09802	MAR03903	MAR04690	MAR06780	MAR03816	MAR04776	MAR04777	MAR08416	MAR08426	MAR08607	MAR03883	MAR04284	MAR04788	MAR04789	MAR04791	MAR07703	MAR03747	MAR03744	MAR03777	MAR03778	MAR06923	MAR03765	MAR03940	MAR06768	MAR08539	MAR04302	MAR04323	MAR04174	MAR04300	MAR07706	MAR08779	MAR00622	MAR00648	MAR00649	MAR04260	MAR01649	MAR11305
4914.NoBroccoli	894.24297271307	200.21664815450714	894.24297271307	894.24297271307	69.20001456326365	69.20001456326365	69.20001456326365	168.4070505959965	168.4070505959965	-84.7293210025946	-60.811004047603944	-60.811004047603944	75.35225419402768	75.35225419402768	75.35225419402768	75.35225419402768	168.4070505959965	-60.811004047603944	168.4070505959965	168.4070505959965	-173.91902427863636	-168.4070505959965	168.4070505959965	168.4070505959965	-1.1314829797553898	-168.7891678405181	266.15786691432675	-31.48280599014798	72.73212308039209	72.73212308039209	-191.41626570234095	-31.48280599014798	168.4070505959965	104.90312799674203	362.1979327713741	-620.7058645999903	678.3638673717431	-620.7058645999903	802.9313420042226	323.9923273318626	323.9923273318626	362.8546878564989	362.8546878564989	-22.669827754718938	-22.669827754718938	-209.1195608779313	266.15786691432675	-209.1195608779313	49.44131217249729	55.46181582424474	-180.08713516215235	168.4070505959965	802.9313420042226	-802.9313420042226	19.25150310849545	4.911374166347777	-4.911374166347777	168.4070505959965	72.73212308039209	-6835.210372034051
4915.Broccoli	-1468.8119469450187	-63.01263609910271	-1468.8119469450187	-1468.8119469450187	5.919498754794168	5.919498754794168	5.919498754794168	210.97196605497163	210.97196605497163	-299.50571232696876	-290.48283218743404	-290.48283218743404	22.221868854230877	22.221868854230877	22.221868854230877	22.221868854230877	210.97196605497163	-290.48283218743404	210.97196605497163	210.97196605497163	-130.5482612499509	-210.97196605497163	210.97196605497163	210.97196605497163	74.1154329516308	-301.42322574007403	621.5293271458554	-20.686936253005314	113.04010641025444	113.04010641025444	-349.79886243288524	-20.686936253005314	210.97196605497163	52.28978507289258	-55.87329924398735	-3102.2182275743153	3099.1359663890617	-3102.2182275743153	2876.017954540025	675.6520872814525	675.6520872814525	635.2702989364577	635.2702989364577	609.909452565951	609.909452565951	-194.2995624380982	621.5293271458554	-194.2995624380982	6.595533509153857	45.694251563738725	-123.79190894333537	210.97196605497163	2876.017954540025	-2876.017954540025	-4.10792933015037	70.13563709774581	-70.13563709774581	210.97196605497163	113.04010641025444	6350.778642821134
4915.NoBroccoli	-1564.4553459461665	-218.79931135785012	-1564.4553459461665	-1564.4553459461665	6.916116521524666	6.916116521524666	6.916116521524666	752.091715814503	752.091715814503	-246.8411942475357	-212.63653200259455	-212.63653200259455	92.72177645068365	92.72177645068365	92.72177645068365	92.72177645068365	752.091715814503	-212.63653200259455	752.091715814503	752.091715814503	-81.9795186607208	-752.091715814503	752.091715814503	752.091715814503	680.5693163714509	-78.42632133170112	293.08586301576315	-7.161449817575594	11.793271613434364	11.793271613434364	-116.46236693517852	-7.161449817575594	752.091715814503	108.99158423122726	-80.17140031781041	-1133.605977810866	1136.6103480051152	-1133.605977810866	978.0573993238972	338.66307132980455	338.66307132980455	307.8193923442483	307.8193923442483	625.8004736700387	625.8004736700387	-88.53671933847465	293.08586301576315	-88.53671933847465	10.160573210243333	98.83101102098394	-68.71800189980078	752.091715814503	978.0573993238972	-978.0573993238972	101.69541749043326	14.597203314344656	-14.597203314344656	752.091715814503	11.793271613434364	-5236.498045260013
4916.Broccoli	-1331.9995123317792	-101.857693711366	-1331.9995123317792	-1331.9995123317792	39.25249931181571	39.25249931181571	39.25249931181571	-321.80691263271865	-321.80691263271865	-56.982722884493505	-56.43769612197182	-56.43769612197182	-65.77585453999866	-65.77585453999866	-65.77585453999866	-65.77585453999866	-321.80691263271865	-56.43769612197182	-321.80691263271865	-321.80691263271865	376.2684052512575	321.80691263271865	-321.80691263271865	-321.80691263271865	73.68663921021243	762.1827465652885	-250.7415031219977	-48.12484268642997	41.191099226062605	41.191099226062605	695.4702471373694	-48.12484268642997	-321.80691263271865	334.3843607243225	-261.1609395170407	-3943.7095333453235	3941.3602683894405	-3943.7095333453235	3454.466502296101	-223.74870326462076	-223.74870326462076	-310.78152542662576	-310.78152542662576	-541.9523987485094	-541.9523987485094	-388.3701932810774	-250.7415031219977	-388.3701932810774	5.488199579317322	328.8961611450052	401.04595741135506	-321.80691263271865	3454.466502296101	-3454.466502296101	313.94540779596764	17.167376442659332	-17.167376442659332	-321.80691263271865	41.191099226062605	1030.520691282979
4916.NoBroccoli	-392.58096934475196	17.4342351968084	-392.58096934475196	-392.58096934475196	6.779913968855274	6.779913968855274	6.779913968855274	-411.1018101178458	-411.1018101178458	15.676024515012456	-0.6694780517238854	-0.6694780517238854	-72.94824368844263	-72.94824368844263	-72.94824368844263	-72.94824368844263	-411.1018101178458	-0.6694780517238854	-411.1018101178458	-411.1018101178458	98.25650420999459	411.1018101178458	-411.1018101178458	-411.1018101178458	-314.47065985195604	363.4063287505335	-95.63554328853058	-16.63950547229268	67.11484984983878	67.11484984983878	363.93580368130847	-16.63950547229268	-411.1018101178458	196.45443314516444	-19.158578507080676	-5342.387159011811	5343.973507498222	-5342.387159011811	5066.135162827609	-5.524935021891906	-5.524935021891906	0.708940368534229	0.708940368534229	-97.48450790674082	-97.48450790674082	-77.09665712029889	-95.63554328853058	-77.09665712029889	6.5758484441291705	189.87858470103527	96.82738591172284	-411.1018101178458	5066.135162827609	-5066.135162827609	244.44833219750927	-54.179774992465134	54.179774992465134	-411.1018101178458	67.11484984983878	-4360.2289315093285
4918.Broccoli	-1590.347380973929	-45.97435675822062	-1590.347380973929	-1590.347380973929	23.033410075580253	23.033410075580253	23.033410075580253	1.9364694387130612	1.9364694387130612	-300.7130360926881	-223.61074193948767	-223.61074193948767	36.46094985448809	36.46094985448809	36.46094985448809	36.46094985448809	1.9364694387130612	-223.61074193948767	1.9364694387130612	1.9364694387130612	184.12691552165654	-1.9364694387130612	1.9364694387130612	1.9364694387130612	191.41689224918514	349.35947633367516	-5.607360841759146	-115.4410779963524	2.3209888927310587	2.3209888927310587	278.8767916658343	-115.4410779963524	1.9364694387130612	276.41768811034734	62.02050852814091	-2388.128382130929	2386.246527733727	-2388.128382130929	2035.8881605793972	-105.85800055232227	-105.85800055232227	-51.3736443642386	-51.3736443642386	19.043369150401645	19.043369150401645	-218.04655112897774	-5.607360841759146	-218.04655112897774	2.854327925996474	273.56336018435087	177.3321683660093	1.9364694387130612	2035.8881605793972	-2035.8881605793972	234.43429708658317	9.593189163944373	-9.593189163944373	1.9364694387130612	2.3209888927310587	1466.615762639223
4918.NoBroccoli	-992.5171687714198	-13.685721831527303	-992.5171687714198	-992.5171687714198	2.620178558974769	2.620178558974769	2.620178558974769	-255.32381446049243	-255.32381446049243	-77.06334571520854	-86.39414126737833	-86.39414126737833	73.0077572046174	73.0077572046174	73.0077572046174	73.0077572046174	-255.32381446049243	-86.39414126737833	-255.32381446049243	-255.32381446049243	151.3170223795385	255.32381446049243	-255.32381446049243	-255.32381446049243	-107.41496188595747	79.92746773505023	-18.109704870523615	-40.82848811908154	56.226559435149674	56.226559435149674	61.412653040909696	-40.82848811908154	-255.32381446049243	94.0885515533513	50.21808344581103	-3202.483315618054	3203.44211852986	-3202.483315618054	3115.984570786782	10.41547130728783	10.41547130728783	21.775518676265264	21.775518676265264	103.4286518319355	103.4286518319355	-54.746982465913106	-18.109704870523615	-54.746982465913106	5.427696214254627	88.66085533909667	154.53740698383035	-255.32381446049243	3115.984570786782	-3115.984570786782	112.18712627992332	26.853118294803934	-26.853118294803934	-255.32381446049243	56.226559435149674	-7576.292868116214
