group,MAR10034,MAR04303,MAR04091,MAR04089,MAR04087,MAR08764,MAR04416,MAR04415,MAR08584,MAR04406,MAR08589,MAR08587,MAR08582,MAR08580,MAR08592,MAR08591,MAR04046,MAR04518,MAR03989,MAR04034,MAR03903,MAR09802,MAR03892,MAR03890,MAR03831,MAR04194,MAR08755,MAR04519,MAR04808,MAR04650,MAR04649,MAR04648,MAR04646,MAR04520,MAR08581,4518:P5.Almond,MAR10033,4501:P5.Almond,4505:P3.NoAlmond,4505:P2.Almond,4503:P2.NoAlmond,4503:P1.Almond,4502:P3.Almond,4502:P2.NoAlmond,4501:P4.NoAlmond,4506:P3.NoAlmond,HMDB0000112-,HMDB0000641-,HMDB0000134-,HMDB0002212-,HMDB0000944-,HMDB0000220-,4506:P1.Almond,4507:P2.NoAlmond,4518:P2.NoAlmond,4512:P5.NoAlmond,4516:P4.Almond,4516:P3.NoAlmond,4515:P5.NoAlmond,4515:P3.Almond,4514:P5.NoAlmond,4514:P3.Almond,4512:P1.Almond,4507:P3.Almond,4511:P5.Almond,4511:P1.NoAlmond,4509:P4.NoAlmond,4509:P2.Almond,4508:P2.Almond,4508:P1.NoAlmond,MAR04196,MAR04197,MAR04690,MAR05263,MAR05269,MAR05268,MAR05267,MAR05266,MAR05265,MAR05264,MAR05262,MAR05271,MAR05261,MAR05260,MAR05259,MAR05258,MAR07306,MAR07305,MAR05270,MAR05272,MAR06780,MAR05281,MAR05287,MAR05286,MAR05285,MAR05284,MAR05283,MAR05282,MAR05280,MAR05273,MAR05279,MAR05278,MAR05277,MAR05276,MAR05275,MAR05274,MAR07304,MAR07303,MAR07302,MAR03883,MAR04791,MAR04789,MAR04788,MAR04467,MAR04284,MAR04198,MAR08607,MAR07301,MAR08426,MAR08416,MAR04787,MAR04777,MAR04776,MAR03816,MAR07703,MAR03747,MAR03744,MAR03777,MAR03778,MAR06923,MAR03765,MAR03940,MAR06768,MAR08539,MAR04302,MAR04323,MAR04324,MAR04328,MAR04329,MAR04174,MAR04300,HMDB0000535-,HMDB0000224-,HMDB0000157-,HMDB0000301-,HMDB0000626+,HMDB0000574+,HMDB0000573+,HMDB0000535+,HMDB0000517-,HMDB0000511-,HMDB0000300-,HMDB0000646+,HMDB0000294+,HMDB0000292+,HMDB0000289+,HMDB0000283-,HMDB0000262-,HMDB0000254+,HMDB0000641+,HMDB0000660+,HMDB0001858+,HMDB0000883-,HMDB0001251+,HMDB0001160-,HMDB0001138-,HMDB0000944+,HMDB0000929+,HMDB0000892+,HMDB0000827-,HMDB0000666-,HMDB0000826-,HMDB0000806-,HMDB0000763+,HMDB0000754-,HMDB0000687-,HMDB0000673+,HMDB0000243-,HMDB0000226+,HMDB0000224+,HMDB0000123+,HMDB0000149-,HMDB0000148-,HMDB0000143+,HMDB0000134+,HMDB0000132+,HMDB0000131+,HMDB0000122+,HMDB0000220+,HMDB0000119+,HMDB0000115+,HMDB0000112+,HMDB0000067+,HMDB0000056-,HMDB0000020-,HMDB0000156+,HMDB0000157+,HMDB0000158+,HMDB0000159-,HMDB0000162-,HMDB0000163+,HMDB0000167+,HMDB0000169+,HMDB0000172-,HMDB0000182+,HMDB0000187+,HMDB0000191+,HMDB0000195+,HMDB0000209-,HMDB0000210-,HMDB0000211+,HMDB0000214-,HMDB0001488-,HMDB0001893+,HMDB0001893-,HMDB0000167-,HMDB0000763-,HMDB0000574-,HMDB0000511+,HMDB0000292-,HMDB0000214+,HMDB0000187-,HMDB0000158-,HMDB0001858-,HMDB0000132-,HMDB0000123-,HMDB0002259+,HMDB0001160+,HMDB0001138+,HMDB0000826+,HMDB0000929-,HMDB0000122-,HMDB0002003+,HMDB0000115-,HMDB0001251-,HMDB0000673-,HMDB0000573-,HMDB0000211-,HMDB0000195-,HMDB0000182-,HMDB0000067-,HMDB0000131-,HMDB0000169-,HMDB0002356-,HMDB0002003-,HMDB0000254-,HMDB0000209+,HMDB0000163-,HMDB0000806+,HMDB0000626-,HMDB0000301+,HMDB0000149+,HMDB0000243+,HMDB0000226-,HMDB0000210+,HMDB0000191-,HMDB0000159+,HMDB0000156-,HMDB0000148+,HMDB0000294-,HMDB0000143-,HMDB0000056+,HMDB0000011-,HMDB0002356+,HMDB0002259-,HMDB0002212+,HMDB0000262+,HMDB0000283+,HMDB0000289-,HMDB0000300+,HMDB0000517+,HMDB0000646-,HMDB0000660-,HMDB0000666+,HMDB0000687+,HMDB0000754+,HMDB0000827+,HMDB0000883+,HMDB0001488+,HMDB0000020+,HMDB0000119-,HMDB0000162+,HMDB0000172+,MAR05288,MAR05289,MAR05290,MAR11112,MAR11121,MAR11120,MAR11119,MAR11118,MAR11116,MAR11115,MAR11111,MAR11123,MAR11109,MAR11108,MAR11107,MAR11106,MAR11105,MAR11104,MAR11122,MAR11124,MAR11144,MAR11135,MAR11142,MAR11140,MAR11139,MAR11138,MAR11137,MAR11136,MAR11134,MAR11127,MAR11133,MAR11132,MAR11131,MAR11130,MAR11129,MAR11128,MAR11102,MAR11101,MAR11100,MAR11071,MAR11080,MAR11078,MAR11077,MAR11074,MAR11073,MAR11072,MAR11068,MAR11099,MAR11067,MAR11062,MAR11061,MAR11060,MAR11059,MAR11058,MAR11082,MAR11083,MAR11084,MAR11085,MAR11086,MAR11087,MAR11088,MAR11089,MAR11090,MAR11091,MAR11092,MAR11093,MAR11094,MAR11095,MAR11096,MAR11097,MAR11098,MAR11143,MAR11145,MAR11056,MAR11195,MAR11202,MAR11201,MAR11200,MAR11199,MAR11197,MAR11196,MAR11194,MAR11204,MAR11193,MAR11192,MAR11191,MAR11190,MAR11189,MAR11187,MAR11203,MAR11205,MAR11146,MAR11216,MAR11413,MAR11222,MAR11220,MAR11219,MAR11218,MAR11217,MAR11215,MAR11206,MAR11214,MAR11212,MAR11211,MAR11209,MAR11208,MAR11207,MAR11186,MAR11185,MAR11184,MAR11155,MAR11161,MAR11160,MAR11159,MAR11158,MAR11157,MAR11156,MAR11154,MAR11183,MAR11153,MAR11152,MAR11151,MAR11150,MAR11149,MAR11148,MAR11163,MAR11164,MAR11165,MAR11166,MAR11167,MAR11168,MAR11169,MAR11170,MAR11171,MAR11172,MAR11173,MAR11174,MAR11175,MAR11176,MAR11179,MAR11181,MAR11182,MAR11057,MAR11054,MAR05291,MAR00021,MAR12140,MAR11305,MAR09943,MAR09931,MAR04413,MAR01649,MAR05257,MAR13078,MAR00691,MAR00690,MAR00689,MAR00687,MAR00686,MAR00685,MAR12993,MAR10064,MAR06725,MAR04693,MAR05336,MAR07702,MAR04792,MAR04582,MAR03845,MAR03807,MAR04109,MAR04574,MAR03899,MAR03829,MAR03827,MAR03813,MAR06603,MAR06602,MAR00012,MAR09481,MAR04260,MAR03548,MAR03570,MAR03569,MAR03566,MAR03559,MAR03555,MAR03551,MAR03545,MAR00649,MAR03544,MAR03540,MAR08779,MAR07706,MAR09818,MAR09817,MAR03572,MAR03586,MAR03686,MAR03690,MAR03691,MAR03694,MAR03697,MAR03701,MAR03705,MAR03712,MAR03715,MAR03716,MAR03718,MAR03732,MAR08238,MAR00622,MAR00648,MAR06708,MAR03912,MAR11053,MAR11020,MAR11027,MAR11026,MAR11024,MAR11023,MAR11022,MAR11021,MAR11019,MAR11031,MAR11018,MAR11017,MAR11016,MAR11015,MAR11014,MAR11013,MAR11029,MAR11032,MAR08684,MAR11043,MAR11052,MAR11049,MAR11048,MAR11046,MAR11045,MAR11044,MAR11042,MAR11033,MAR11041,MAR11040,MAR11039,MAR11036,MAR11035,MAR11034,MAR11012,MAR11011,MAR11007,MAR00692,MAR10982,MAR10981,MAR03263,MAR03042,MAR02027,MAR01616,MAR00688,MAR11006,MAR01834,MAR08743,MAR04652,MAR04410,MAR04408,MAR04330,MAR10984,MAR10986,MAR10988,MAR10989,MAR10991,MAR10993,MAR10994,MAR10995,MAR10996,MAR10998,MAR10999,MAR11000,MAR11001,MAR11002,MAR11003,MAR11004,MAR11005,HMDB0000011+
Almond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2672612419124244,0.0,0.2672612419124244,0.0,0.2672612419124244,0.0,0.2672612419124244,0.2672612419124244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2672612419124244,0.0,0.0,0.0,0.2672612419124244,0.0,0.0,0.2672612419124244,0.0,0.2672612419124244,0.26726124191242434,0.2672612419124244,0.2672612419124244,0.0,0.0,0.2672612419124244,0.26726124191242434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NoAlmond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2672612419124244,0.0,0.2672612419124244,0.0,0.0,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2672612419124244,0.2672612419124244,0.2672612419124244,0.0,0.26726124191242434,0.2672612419124244,0.0,0.26726124191242434,0.0,0.0,0.0,0.0,0.2672612419124244,0.2672612419124244,0.0,0.0,0.2672612419124244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
